date,weather_code,temperature_2m_max,temperature_2m_min,apparent_temperature_max,apparent_temperature_min,precipitation_sum,rain_sum,showers_sum,snowfall_sum,wind_speed_10m_max,wind_gusts_10m_max
2021-10-01,3,15.5,1.4,12.9,-1.4,0.0,0.0,0.0,0.0,7.0,9.7
2021-10-02,3,15.7,2.8,13.6,0.3,0.0,0.0,0.0,0.0,8.9,12.2
2021-10-03,3,16.4,3.0,14.1,0.0,0.0,0.0,0.0,0.0,10.6,13.3
2021-10-04,51,16.5,4.8,15.0,2.6,0.1,0.0,0.2,0.0,9.0,11.2
2021-10-05,53,14.7,7.3,12.2,5.2,2.1,0.0,2.1,0.0,13.9,29.2
2021-10-06,81,7.6,2.4,6.0,-0.2,30.2,28.5,1.7,0.0,7.8,13.3
2021-10-07,53,3.4,1.9,1.6,-1.1,8.9,8.7,0.2,0.0,9.3,14.4
2021-10-08,51,9.4,0.1,6.6,-2.5,0.1,0.0,0.1,0.0,8.4,7.2
2021-10-09,0,9.2,-2.5,5.8,-5.3,0.0,0.0,0.0,0.0,7.9,10.1
2021-10-10,3,7.9,-3.0,4.6,-5.8,0.0,0.0,0.0,0.0,9.3,8.6
2021-10-11,45,8.7,-2.1,5.6,-5.2,0.0,0.0,0.0,0.0,9.1,11.5
2021-10-12,85,2.5,-0.6,-0.1,-3.9,9.7,6.7,0.6,1.75,7.1,12.2
2021-10-13,85,0.8,-2.2,-2.3,-5.5,20.0,5.4,2.6,9.03,9.3,17.3
2021-10-14,85,2.1,-2.2,-0.8,-5.7,3.3,1.8,1.0,0.77,7.4,13.3
2021-10-15,3,10.6,1.1,8.1,-1.6,0.0,0.0,0.0,0.0,7.5,9.4
2021-10-16,51,6.6,0.1,4.6,-2.6,1.9,0.0,1.9,0.0,5.5,4.7
2021-10-17,2,11.1,-1.4,8.8,-4.4,0.0,0.0,0.0,0.0,5.1,5.8
2021-10-18,3,10.6,0.2,8.2,-2.7,0.0,0.0,0.0,0.0,5.6,7.6
2021-10-19,51,13.6,1.7,11.2,-1.3,0.2,0.2,0.0,0.0,6.5,8.3
2021-10-20,3,18.1,4.9,16.2,2.2,0.0,0.0,0.0,0.0,9.0,12.6
2021-10-21,61,10.7,1.4,8.6,-1.5,4.8,4.8,0.0,0.0,13.5,22.3
2021-10-22,51,6.5,0.9,4.4,-2.1,0.9,0.1,0.8,0.0,7.3,10.8
2021-10-23,45,6.4,-3.2,3.2,-6.3,0.0,0.0,0.0,0.0,8.4,10.4
2021-10-24,1,11.1,-3.2,7.1,-6.6,0.0,0.0,0.0,0.0,10.0,12.6
2021-10-25,3,11.1,-1.4,7.1,-5.5,0.0,0.0,0.0,0.0,7.9,11.5
2021-10-26,3,8.7,0.7,5.5,-3.3,0.0,0.0,0.0,0.0,6.6,9.0
2021-10-27,3,10.0,-0.3,7.2,-3.5,0.0,0.0,0.0,0.0,6.1,7.9
2021-10-28,2,13.2,-0.4,9.4,-4.0,0.0,0.0,0.0,0.0,9.4,13.0
2021-10-29,3,13.1,-0.4,8.6,-4.5,0.0,0.0,0.0,0.0,11.6,16.6
2021-10-30,3,11.3,-1.2,6.5,-5.5,0.0,0.0,0.0,0.0,15.0,22.3
2021-10-31,3,12.5,0.8,9.2,-2.5,0.0,0.0,0.0,0.0,11.2,15.1
2021-11-01,81,10.3,-0.1,7.6,-3.5,14.0,11.1,0.1,1.96,8.4,10.4
2021-11-02,75,3.1,-5.8,0.7,-9.2,14.7,5.6,0.2,6.23,6.4,9.4
2021-11-03,53,6.5,-1.9,3.2,-5.0,1.2,1.2,0.0,0.0,12.8,18.7
2021-11-04,75,3.4,-1.2,1.0,-4.2,21.9,13.8,0.0,5.67,9.4,13.7
2021-11-05,3,2.7,-4.3,-0.1,-7.6,0.0,0.0,0.0,0.0,6.0,6.1
2021-11-06,3,4.3,-7.8,1.2,-11.3,0.0,0.0,0.0,0.0,4.3,6.1
2021-11-07,3,8.5,-2.5,5.6,-5.8,0.0,0.0,0.0,0.0,7.5,7.6
2021-11-08,71,2.5,-3.8,-0.1,-6.9,0.4,0.2,0.0,0.14,6.5,10.8
2021-11-09,3,6.2,-4.8,2.0,-8.0,0.0,0.0,0.0,0.0,10.8,16.6
2021-11-10,3,10.5,-1.6,7.8,-5.6,0.0,0.0,0.0,0.0,9.7,14.4
2021-11-11,3,14.2,3.1,12.9,0.3,0.0,0.0,0.0,0.0,7.5,8.6
2021-11-12,3,13.9,2.9,11.8,0.4,0.0,0.0,0.0,0.0,6.9,9.0
2021-11-13,53,8.9,2.5,7.0,-0.1,2.9,2.8,0.1,0.0,7.2,7.6
2021-11-14,45,7.5,1.0,4.7,-2.1,0.0,0.0,0.0,0.0,7.8,11.2
2021-11-15,3,7.9,-0.7,4.4,-4.3,0.0,0.0,0.0,0.0,11.3,15.8
2021-11-16,3,6.2,-1.3,2.5,-4.7,0.0,0.0,0.0,0.0,10.0,13.7
2021-11-17,45,5.2,-1.5,2.4,-4.3,0.0,0.0,0.0,0.0,6.3,9.4
2021-11-18,45,2.8,-2.6,-0.4,-5.9,0.0,0.0,0.0,0.0,6.5,8.6
2021-11-19,3,6.8,-2.1,3.5,-5.5,0.0,0.0,0.0,0.0,7.1,10.8
2021-11-20,3,8.3,-1.4,6.0,-4.6,0.0,0.0,0.0,0.0,6.0,7.9
2021-11-21,3,8.7,-0.8,5.6,-3.8,0.0,0.0,0.0,0.0,5.6,6.5
2021-11-22,71,1.3,-2.0,-2.1,-5.1,1.6,0.4,0.0,0.84,6.9,8.3
2021-11-23,85,1.7,-5.6,-1.6,-9.1,0.5,0.1,0.2,0.28,4.5,6.1
2021-11-24,0,5.4,-4.5,0.9,-9.1,0.0,0.0,0.0,0.0,8.4,11.2
2021-11-25,3,5.7,-4.0,1.6,-8.6,0.0,0.0,0.0,0.0,7.7,10.1
2021-11-26,73,-1.3,-7.9,-4.6,-11.5,9.3,2.7,0.0,4.62,7.0,9.7
2021-11-27,73,-1.0,-8.4,-3.7,-12.0,4.3,1.3,0.0,2.1,5.4,9.7
