date,weather_code,temperature_2m_max,temperature_2m_min,apparent_temperature_max,apparent_temperature_min,precipitation_sum,rain_sum,showers_sum,snowfall_sum,wind_speed_10m_max,wind_gusts_10m_max
2021-10-01,53,15.9,9.5,10.8,3.9,4.4,4.4,0.0,0.0,31.7,60.8
2021-10-02,55,17.0,10.3,12.0,8.1,4.0,4.0,0.0,0.0,50.7,91.4
2021-10-03,63,16.5,10.7,14.2,6.6,28.4,28.0,0.4,0.0,44.3,84.6
2021-10-04,3,16.2,9.4,12.1,5.6,0.0,0.0,0.0,0.0,30.0,54.4
2021-10-05,53,15.0,9.6,10.1,5.0,2.1,2.0,0.1,0.0,37.9,62.3
2021-10-06,80,12.6,9.4,9.3,4.4,4.2,3.2,1.0,0.0,33.4,54.7
2021-10-07,51,16.3,9.3,15.5,7.5,0.2,0.0,0.2,0.0,13.5,32.4
2021-10-08,2,16.5,7.6,13.8,5.4,0.0,0.0,0.0,0.0,16.8,20.9
2021-10-09,2,16.6,6.9,14.8,4.5,0.0,0.0,0.0,0.0,10.9,13.0
2021-10-10,3,15.7,6.6,14.1,4.0,0.0,0.0,0.0,0.0,11.2,13.7
2021-10-11,51,14.0,8.1,11.3,6.2,0.7,0.1,0.6,0.0,16.9,31.3
2021-10-12,55,14.2,5.8,10.5,3.2,2.9,0.5,2.4,0.0,25.8,42.1
2021-10-13,51,13.2,5.9,10.5,3.4,0.6,0.0,0.6,0.0,14.6,21.6
2021-10-14,3,14.4,6.8,12.0,3.2,0.0,0.0,0.0,0.0,18.0,41.4
2021-10-15,51,13.5,7.4,10.9,3.7,0.4,0.3,0.1,0.0,19.6,45.7
2021-10-16,3,12.6,4.5,10.9,1.8,0.0,0.0,0.0,0.0,10.5,11.2
2021-10-17,3,13.3,5.3,11.0,2.5,0.0,0.0,0.0,0.0,11.9,16.9
2021-10-18,3,14.9,6.3,11.3,3.1,0.0,0.0,0.0,0.0,24.1,53.6
2021-10-19,53,20.2,13.3,18.0,10.6,1.0,1.0,0.0,0.0,30.4,66.2
2021-10-20,80,17.7,14.3,13.0,8.5,3.9,1.2,2.7,0.0,43.4,75.6
2021-10-21,81,12.9,4.5,5.5,0.2,9.9,7.3,2.6,0.0,61.5,97.6
2021-10-22,3,10.8,4.2,6.2,-0.8,0.0,0.0,0.0,0.0,31.5,54.0
2021-10-23,3,13.3,5.7,10.9,2.4,0.0,0.0,0.0,0.0,12.2,21.2
2021-10-24,2,13.3,4.0,9.2,0.3,0.0,0.0,0.0,0.0,18.4,41.8
2021-10-25,51,12.8,5.1,9.1,0.8,0.6,0.5,0.1,0.0,23.9,48.6
2021-10-26,3,13.9,7.3,10.4,4.2,0.0,0.0,0.0,0.0,26.5,47.9
