date,weather_code,temperature_2m_max,temperature_2m_min,apparent_temperature_max,apparent_temperature_min,precipitation_sum,rain_sum,showers_sum,snowfall_sum,wind_speed_10m_max,wind_gusts_10m_max
2021-10-01,3,16.8,7.1,13.2,4.4,0.0,0.0,0.0,0.0,14.8,19.1
2021-10-02,3,18.2,6.0,15.5,3.5,0.0,0.0,0.0,0.0,11.5,10.8
2021-10-03,0,20.4,6.0,17.1,3.4,0.0,0.0,0.0,0.0,12.2,12.6
2021-10-04,3,20.9,7.6,18.1,6.1,0.0,0.0,0.0,0.0,13.3,13.3
2021-10-05,2,19.3,7.5,16.4,5.9,0.0,0.0,0.0,0.0,15.2,32.8
2021-10-06,3,17.7,6.2,14.7,4.4,0.0,0.0,0.0,0.0,12.3,26.6
2021-10-07,3,15.0,6.7,12.4,4.7,0.0,0.0,0.0,0.0,15.8,28.8
2021-10-08,63,12.7,7.7,10.5,4.8,6.6,6.6,0.0,0.0,14.8,27.0
2021-10-09,63,10.2,7.1,7.9,4.3,9.0,9.0,0.0,0.0,12.6,26.3
2021-10-10,55,11.3,8.3,10.4,7.0,2.0,2.0,0.0,0.0,4.9,18.4
2021-10-11,63,11.4,9.5,10.9,8.4,17.8,17.8,0.0,0.0,5.6,32.0
2021-10-12,80,10.9,8.2,10.1,5.3,22.3,19.9,2.4,0.0,18.7,37.8
2021-10-13,51,11.6,7.5,9.5,4.9,0.7,0.7,0.0,0.0,11.8,31.7
2021-10-14,63,8.5,5.2,6.8,1.9,28.9,28.9,0.0,0.0,14.2,28.8
2021-10-15,61,12.0,5.7,11.1,3.0,12.6,11.6,1.0,0.0,12.1,49.0
2021-10-16,80,11.8,9.4,11.2,7.7,8.3,2.3,6.0,0.0,11.5,37.1
2021-10-17,3,12.6,7.4,11.2,5.6,0.0,0.0,0.0,0.0,10.2,26.6
2021-10-18,51,14.7,7.3,13.4,5.6,0.1,0.1,0.0,0.0,7.9,5.8
2021-10-19,3,15.6,7.1,14.1,4.6,0.0,0.0,0.0,0.0,8.0,9.4
2021-10-20,3,15.1,7.1,12.8,5.3,0.0,0.0,0.0,0.0,9.3,7.2
2021-10-21,0,15.7,6.6,13.6,5.0,0.0,0.0,0.0,0.0,10.4,9.7
2021-10-22,3,19.2,8.6,17.6,6.8,0.0,0.0,0.0,0.0,8.1,7.6
2021-10-23,51,20.7,11.1,20.4,8.9,0.6,0.0,0.6,0.0,13.4,25.9
2021-10-24,53,12.1,5.1,8.3,2.7,3.2,3.2,0.0,0.0,15.7,41.8
2021-10-25,0,11.4,3.4,8.7,1.3,0.0,0.0,0.0,0.0,8.2,7.9
2021-10-26,0,10.8,2.1,7.8,-0.4,0.0,0.0,0.0,0.0,8.9,10.8
2021-10-27,0,14.5,3.6,12.0,1.1,0.0,0.0,0.0,0.0,9.4,9.0
2021-10-28,3,14.5,4.5,11.9,2.0,0.0,0.0,0.0,0.0,7.7,7.6
2021-10-29,0,14.2,5.0,11.2,2.5,0.0,0.0,0.0,0.0,8.1,12.2
2021-10-30,3,12.8,4.9,10.1,2.7,0.0,0.0,0.0,0.0,10.1,13.3
2021-10-31,3,11.5,7.0,9.8,4.6,0.0,0.0,0.0,0.0,6.8,6.5
2021-11-01,3,13.5,7.2,11.9,6.1,0.0,0.0,0.0,0.0,11.0,9.4
2021-11-02,63,10.5,7.2,8.9,6.1,5.6,5.6,0.0,0.0,11.4,17.3
2021-11-03,3,17.0,8.1,15.3,6.5,0.0,0.0,0.0,0.0,10.7,13.0
2021-11-04,3,18.3,8.9,17.4,8.1,0.0,0.0,0.0,0.0,7.7,6.5
2021-11-05,3,21.8,11.4,21.2,10.7,0.0,0.0,0.0,0.0,7.9,5.8
2021-11-06,3,22.0,12.7,21.9,12.1,0.0,0.0,0.0,0.0,10.1,15.1
2021-11-07,45,17.3,11.2,17.4,11.1,0.0,0.0,0.0,0.0,5.6,7.6
2021-11-08,3,21.5,11.8,20.5,10.9,0.0,0.0,0.0,0.0,11.7,10.8
2021-11-09,55,16.3,5.0,15.6,2.2,1.7,1.7,0.0,0.0,21.1,44.6
2021-11-10,3,9.8,2.0,7.1,-1.2,0.0,0.0,0.0,0.0,9.7,14.8
2021-11-11,3,9.8,0.9,6.6,-2.7,0.0,0.0,0.0,0.0,6.9,6.8
2021-11-12,3,12.6,2.7,9.6,-0.2,0.0,0.0,0.0,0.0,6.6,5.4
2021-11-13,3,11.8,3.7,9.0,1.1,0.0,0.0,0.0,0.0,7.8,9.4
2021-11-14,3,11.2,4.4,8.9,2.3,0.0,0.0,0.0,0.0,5.7,5.0
2021-11-15,3,12.3,4.4,9.7,1.9,0.0,0.0,0.0,0.0,11.4,10.8
2021-11-16,3,8.9,2.9,6.3,-0.1,0.0,0.0,0.0,0.0,7.8,16.6
2021-11-17,3,9.5,4.7,7.1,2.7,0.0,0.0,0.0,0.0,7.3,10.4
2021-11-18,3,12.1,3.5,10.4,1.2,0.0,0.0,0.0,0.0,10.4,14.4
2021-11-19,3,9.8,4.3,6.2,1.4,0.0,0.0,0.0,0.0,12.2,21.2
2021-11-20,3,14.5,4.3,12.3,1.6,0.0,0.0,0.0,0.0,11.0,15.5
2021-11-21,0,12.4,4.9,9.8,2.8,0.0,0.0,0.0,0.0,9.0,9.0
2021-11-22,3,13.4,4.5,10.6,2.3,0.0,0.0,0.0,0.0,8.4,7.6
2021-11-23,3,11.7,7.0,8.7,4.3,0.0,0.0,0.0,0.0,12.4,24.8
2021-11-24,3,7.7,1.9,5.5,-0.7,0.0,0.0,0.0,0.0,10.6,14.0
2021-11-25,0,7.1,0.3,3.7,-2.3,0.0,0.0,0.0,0.0,8.7,8.6
