date,weather_code,temperature_2m_max,temperature_2m_min,apparent_temperature_max,apparent_temperature_min,precipitation_sum,rain_sum,showers_sum,snowfall_sum,wind_speed_10m_max,wind_gusts_10m_max
2021-10-01,3,17.9,7.0,17.1,5.8,0.0,0.0,0.0,0.0,7.1,7.2
2021-10-02,3,20.4,7.6,20.2,6.5,0.0,0.0,0.0,0.0,4.3,4.3
2021-10-03,0,24.9,10.0,23.2,8.8,0.0,0.0,0.0,0.0,15.6,19.1
2021-10-04,1,26.2,11.7,25.0,10.2,0.0,0.0,0.0,0.0,14.0,19.8
2021-10-05,55,26.8,12.3,25.2,11.4,2.3,0.0,2.4,0.0,17.5,32.4
2021-10-06,61,21.0,10.7,20.2,7.5,10.7,8.8,1.9,0.0,22.1,46.8
2021-10-07,80,10.8,9.8,7.9,6.4,36.9,36.5,0.4,0.0,27.9,56.5
2021-10-08,61,10.1,8.1,7.5,5.7,10.8,10.8,0.0,0.0,21.7,46.8
2021-10-09,51,9.6,5.6,7.3,2.3,1.0,0.2,0.8,0.0,14.8,35.6
2021-10-10,80,6.8,5.9,3.7,2.0,13.3,13.1,0.2,0.0,19.1,39.6
2021-10-11,61,7.8,4.6,6.5,2.7,10.3,10.3,0.0,0.0,17.6,45.7
2021-10-12,3,12.9,3.6,11.6,1.5,0.0,0.0,0.0,0.0,4.9,9.7
2021-10-13,61,8.9,2.7,7.1,0.4,2.2,2.2,0.0,0.0,14.3,31.3
2021-10-14,3,12.5,1.3,8.8,-1.1,0.0,0.0,0.0,0.0,16.6,34.9
2021-10-15,3,12.1,1.8,8.7,-0.5,0.0,0.0,0.0,0.0,11.8,20.2
2021-10-16,3,14.0,2.6,11.4,0.4,0.0,0.0,0.0,0.0,10.5,14.0
2021-10-17,3,15.4,4.7,13.8,3.1,0.0,0.0,0.0,0.0,4.5,6.8
2021-10-18,3,14.6,5.0,13.1,3.4,0.0,0.0,0.0,0.0,5.6,7.9
2021-10-19,3,17.2,5.6,16.0,3.9,0.0,0.0,0.0,0.0,3.9,6.8
2021-10-20,3,20.5,7.7,17.7,5.5,0.0,0.0,0.0,0.0,24.2,36.7
2021-10-21,51,20.4,10.8,16.9,8.6,0.1,0.0,0.1,0.0,23.6,53.6
2021-10-22,80,15.9,10.6,16.6,10.3,3.1,2.0,1.1,0.0,7.9,28.1
2021-10-23,53,11.9,5.6,11.9,3.8,2.0,1.7,0.3,0.0,14.0,30.6
2021-10-24,1,12.7,2.9,9.0,0.5,0.0,0.0,0.0,0.0,13.1,20.5
2021-10-25,3,11.6,1.3,8.9,-1.1,0.0,0.0,0.0,0.0,5.6,9.7
2021-10-26,3,11.2,2.7,8.8,0.5,0.0,0.0,0.0,0.0,4.7,6.1
2021-10-27,3,13.7,3.5,11.0,1.4,0.0,0.0,0.0,0.0,10.6,15.8
2021-10-28,2,12.5,2.8,10.0,0.8,0.0,0.0,0.0,0.0,6.3,7.2
2021-10-29,2,12.6,1.8,10.7,-0.4,0.0,0.0,0.0,0.0,3.1,3.2
2021-10-30,0,15.6,2.3,13.6,0.1,0.0,0.0,0.0,0.0,4.3,7.9
2021-10-31,3,18.7,6.5,17.8,5.0,0.0,0.0,0.0,0.0,5.6,9.4
2021-11-01,63,18.5,9.1,16.5,7.5,5.1,5.1,0.0,0.0,14.3,29.2
2021-11-02,63,13.1,6.3,12.4,4.9,8.4,6.7,1.7,0.0,12.5,24.5
2021-11-03,81,16.0,6.8,15.4,5.7,18.0,15.2,2.8,0.0,10.5,29.2
2021-11-04,81,16.5,9.2,14.0,7.7,19.5,15.2,4.3,0.0,25.0,54.7
2021-11-05,51,9.0,7.3,7.2,5.3,0.5,0.5,0.0,0.0,8.7,29.9
2021-11-06,51,9.6,6.7,6.7,3.8,0.5,0.5,0.0,0.0,11.3,36.0
2021-11-07,51,13.8,6.0,13.1,4.4,0.3,0.3,0.0,0.0,6.8,11.9
2021-11-08,51,8.3,6.7,6.8,4.4,1.6,1.3,0.3,0.0,14.8,39.2
2021-11-09,3,10.8,4.7,7.7,2.9,0.0,0.0,0.0,0.0,11.0,24.1
2021-11-10,3,9.1,3.2,7.2,1.3,0.0,0.0,0.0,0.0,4.3,4.7
2021-11-11,3,12.4,3.1,10.8,1.1,0.0,0.0,0.0,0.0,4.9,5.0
2021-11-12,3,9.0,2.6,6.4,0.4,0.0,0.0,0.0,0.0,3.7,3.6
2021-11-13,55,16.5,2.9,15.5,0.4,1.5,1.2,0.3,0.0,8.4,17.6
2021-11-14,51,9.4,6.1,8.3,4.4,1.6,1.4,0.2,0.0,8.6,16.2
2021-11-15,3,9.2,3.5,6.6,1.4,0.0,0.0,0.0,0.0,10.3,15.1
2021-11-16,3,6.9,4.9,4.6,2.3,0.0,0.0,0.0,0.0,9.3,17.6
2021-11-17,3,9.8,3.7,8.2,1.9,0.0,0.0,0.0,0.0,4.4,6.8
2021-11-18,3,7.2,3.0,5.5,0.9,0.0,0.0,0.0,0.0,7.1,18.0
2021-11-19,3,11.7,2.3,9.7,-0.1,0.0,0.0,0.0,0.0,4.3,5.4
2021-11-20,3,11.8,4.0,9.5,2.1,0.0,0.0,0.0,0.0,4.8,5.8
2021-11-21,3,15.7,3.0,13.4,0.9,0.0,0.0,0.0,0.0,11.8,23.0
2021-11-22,61,7.1,4.9,5.9,2.7,14.6,14.6,0.0,0.0,7.1,23.8
2021-11-23,51,6.3,-0.5,3.7,-3.5,1.4,1.4,0.0,0.0,15.3,39.2
2021-11-24,3,5.7,-1.0,2.8,-3.9,0.0,0.0,0.0,0.0,3.6,5.8
2021-11-25,3,8.1,0.0,6.3,-2.3,0.0,0.0,0.0,0.0,4.8,6.5
2021-11-26,63,5.9,3.1,4.6,0.2,11.6,11.6,0.0,0.0,9.3,10.8
2021-11-27,61,11.2,3.0,9.0,0.2,2.7,1.8,0.9,0.0,12.3,41.0
2021-11-28,63,6.8,3.1,4.6,0.9,13.3,11.2,2.1,0.0,11.5,36.4
2021-11-29,71,4.2,0.2,1.8,-2.4,1.0,0.5,0.3,0.14,11.4,34.2
2021-11-30,3,7.5,-0.7,2.9,-3.8,0.0,0.0,0.0,0.0,21.6,52.6
2021-12-01,3,11.8,6.1,7.7,1.3,0.0,0.0,0.0,0.0,20.8,51.1
2021-12-02,75,13.5,0.7,11.2,-1.9,23.8,16.0,0.1,5.39,18.9,46.1
2021-12-03,51,5.0,-4.2,2.0,-7.3,0.8,0.5,0.3,0.0,10.2,25.2
2021-12-04,3,5.7,-0.9,2.8,-3.9,0.0,0.0,0.0,0.0,8.9,31.0
2021-12-05,55,5.7,2.4,3.5,-0.2,6.7,6.7,0.0,0.0,14.0,25.2
2021-12-06,51,5.3,-0.1,1.9,-2.6,0.4,0.4,0.0,0.0,10.6,31.0
2021-12-07,3,3.8,-0.6,1.1,-3.9,0.0,0.0,0.0,0.0,5.8,10.1
2021-12-08,61,5.3,-0.9,2.6,-4.0,2.4,2.4,0.0,0.0,5.4,10.8
2021-12-09,73,1.1,-2.6,-1.1,-5.2,9.0,7.7,0.0,0.91,8.5,17.3
2021-12-10,3,3.3,-1.1,0.6,-3.8,0.0,0.0,0.0,0.0,4.5,7.6
2021-12-11,3,3.5,-0.1,-1.3,-3.8,0.0,0.0,0.0,0.0,17.8,52.9
2021-12-12,3,4.2,-1.3,1.1,-4.4,0.0,0.0,0.0,0.0,12.2,39.6
2021-12-13,51,3.3,-0.5,1.2,-3.8,0.7,0.7,0.0,0.0,5.2,5.8
2021-12-14,51,5.3,3.1,3.6,1.0,1.0,1.0,0.0,0.0,3.3,3.6
