date,weather_code,temperature_2m_max,temperature_2m_min,apparent_temperature_max,apparent_temperature_min,precipitation_sum,rain_sum,showers_sum,snowfall_sum,wind_speed_10m_max,wind_gusts_10m_max
2021-10-01,53,26.0,16.6,24.7,17.7,1.5,0.0,1.5,0.0,19.1,15.1
2021-10-02,0,27.8,16.7,26.9,16.2,0.0,0.0,0.0,0.0,16.3,10.1
2021-10-03,1,26.5,17.3,25.1,15.0,0.0,0.0,0.0,0.0,24.9,20.2
2021-10-04,0,26.4,16.1,25.7,14.1,0.0,0.0,0.0,0.0,18.3,10.1
2021-10-05,0,25.6,15.0,24.4,14.0,0.0,0.0,0.0,0.0,18.0,11.2
2021-10-06,0,23.9,14.5,21.5,12.4,0.0,0.0,0.0,0.0,17.1,13.0
2021-10-07,0,25.0,14.3,22.9,12.3,0.0,0.0,0.0,0.0,12.1,11.9
2021-10-08,0,26.8,15.0,24.9,11.9,0.0,0.0,0.0,0.0,12.0,10.1
2021-10-09,0,27.6,16.0,26.0,13.9,0.0,0.0,0.0,0.0,11.4,9.0
2021-10-10,2,28.2,17.6,26.7,15.5,0.0,0.0,0.0,0.0,13.1,8.3
2021-10-11,3,28.4,17.9,27.1,17.5,0.0,0.0,0.0,0.0,10.7,8.3
2021-10-12,3,28.7,17.2,27.3,15.9,0.0,0.0,0.0,0.0,15.1,17.3
2021-10-13,3,24.8,15.9,22.8,14.8,0.0,0.0,0.0,0.0,19.6,23.8
2021-10-14,3,24.7,13.8,24.5,13.6,0.0,0.0,0.0,0.0,19.0,10.4
2021-10-15,3,25.5,14.5,23.4,12.5,0.0,0.0,0.0,0.0,12.7,10.8
2021-10-16,0,26.7,15.4,25.8,14.1,0.0,0.0,0.0,0.0,11.7,22.3
2021-10-17,3,22.9,13.9,20.8,12.9,0.0,0.0,0.0,0.0,16.0,29.2
2021-10-18,51,22.4,13.6,21.2,12.6,0.3,0.0,0.3,0.0,19.2,12.6
2021-10-19,3,22.7,13.2,21.4,11.6,0.0,0.0,0.0,0.0,15.6,9.7
2021-10-20,51,22.5,13.8,21.0,12.2,0.1,0.0,0.1,0.0,14.2,9.4
2021-10-21,51,22.6,13.4,21.3,12.9,0.8,0.8,0.0,0.0,9.7,7.6
2021-10-22,2,22.3,13.3,19.8,11.0,0.0,0.0,0.0,0.0,17.6,9.7
2021-10-23,0,22.5,13.0,20.2,10.8,0.0,0.0,0.0,0.0,12.7,8.3
2021-10-24,0,23.8,13.0,22.2,10.6,0.0,0.0,0.0,0.0,16.4,8.3
2021-10-25,3,22.2,12.8,20.0,11.6,0.0,0.0,0.0,0.0,17.2,13.7
2021-10-26,51,22.3,12.9,21.0,12.4,0.3,0.0,0.3,0.0,9.4,8.6
2021-10-27,80,22.9,13.7,21.8,13.1,3.3,0.0,3.3,0.0,10.4,13.0
2021-10-28,53,22.8,14.3,21.9,14.3,1.7,0.9,0.8,0.0,8.6,11.5
2021-10-29,3,20.8,13.3,18.6,12.0,0.0,0.0,0.0,0.0,15.0,11.5
2021-10-30,80,20.9,13.8,18.9,11.8,4.5,0.0,4.5,0.0,12.4,12.2
2021-10-31,51,21.5,13.9,19.5,13.1,0.2,0.0,0.2,0.0,17.1,14.8
2021-11-01,80,22.4,14.5,20.6,14.2,3.0,0.1,2.9,0.0,27.2,37.1
2021-11-02,51,22.0,13.4,21.5,13.0,0.1,0.0,0.1,0.0,14.4,21.2
2021-11-03,51,21.8,13.1,21.0,11.2,0.5,0.0,0.5,0.0,11.0,8.6
2021-11-04,0,22.8,14.1,21.5,13.2,0.0,0.0,0.0,0.0,12.4,6.8
