date,weather_code,temperature_2m_max,temperature_2m_min,apparent_temperature_max,apparent_temperature_min,precipitation_sum,rain_sum,showers_sum,snowfall_sum,wind_speed_10m_max,wind_gusts_10m_max
2021-10-01,3,15.6,4.7,11.4,1.6,0.0,0.0,0.0,0.0,18.3,50.0
2021-10-02,3,18.6,6.0,15.8,3.7,0.0,0.0,0.0,0.0,25.9,60.1
2021-10-03,3,17.7,7.7,14.6,3.5,0.0,0.0,0.0,0.0,26.0,59.8
2021-10-04,3,19.5,9.0,18.1,7.7,0.0,0.0,0.0,0.0,10.3,9.7
2021-10-05,80,22.5,11.7,20.6,9.1,9.2,0.0,9.3,0.0,28.1,55.8
2021-10-06,81,12.7,8.8,12.9,7.2,10.9,9.7,1.2,0.0,11.4,29.2
2021-10-07,51,11.7,8.2,9.7,6.4,1.0,1.0,0.0,0.0,13.4,30.2
2021-10-08,3,13.7,3.9,10.7,1.1,0.0,0.0,0.0,0.0,12.7,25.6
2021-10-09,0,11.6,1.6,6.7,-1.8,0.0,0.0,0.0,0.0,16.2,29.9
2021-10-10,3,10.9,0.6,7.2,-2.4,0.0,0.0,0.0,0.0,11.2,17.6
2021-10-11,3,11.2,1.8,7.0,-1.2,0.0,0.0,0.0,0.0,13.4,30.2
2021-10-12,80,11.1,2.7,6.9,-0.2,3.9,3.2,0.7,0.0,18.0,32.4
2021-10-13,51,5.9,1.1,2.4,-2.2,0.9,0.0,0.9,0.0,17.6,34.2
2021-10-14,53,6.9,1.3,4.0,-1.6,1.3,1.3,0.0,0.0,13.8,31.7
2021-10-15,51,13.4,3.9,10.2,1.2,0.1,0.1,0.0,0.0,16.9,34.2
2021-10-16,3,8.7,2.4,6.0,-0.4,0.0,0.0,0.0,0.0,6.7,9.0
2021-10-17,3,10.6,1.5,7.5,-1.5,0.0,0.0,0.0,0.0,13.2,19.8
2021-10-18,3,11.1,4.2,9.5,1.9,0.0,0.0,0.0,0.0,8.0,7.6
2021-10-19,51,15.5,5.1,12.8,2.1,0.1,0.0,0.1,0.0,16.2,45.4
2021-10-20,3,18.4,9.3,15.2,6.4,0.0,0.0,0.0,0.0,20.4,43.9
2021-10-21,53,14.9,9.1,9.6,3.4,1.6,1.5,0.1,0.0,37.4,99.4
2021-10-22,3,9.7,4.3,4.2,-0.0,0.0,0.0,0.0,0.0,26.0,52.9
2021-10-23,51,8.2,1.3,3.5,-2.2,0.2,0.1,0.1,0.0,22.1,45.0
2021-10-24,2,9.4,0.2,4.4,-3.0,0.0,0.0,0.0,0.0,17.7,45.7
2021-10-25,3,10.6,2.1,6.0,-2.6,0.0,0.0,0.0,0.0,18.3,38.2
2021-10-26,3,12.9,2.3,9.7,-1.0,0.0,0.0,0.0,0.0,11.9,27.4
2021-10-27,3,12.6,4.4,9.8,1.9,0.0,0.0,0.0,0.0,10.3,23.4
2021-10-28,3,12.0,3.7,7.0,-0.2,0.0,0.0,0.0,0.0,21.7,51.8
2021-10-29,3,12.0,3.4,5.9,-1.4,0.0,0.0,0.0,0.0,34.0,64.4
2021-10-30,3,11.7,4.1,3.7,-0.7,0.0,0.0,0.0,0.0,43.4,79.6
2021-10-31,3,11.8,4.9,7.2,1.2,0.0,0.0,0.0,0.0,32.4,63.4
2021-11-01,,11.2,5.0,8.4,1.1,2.9,2.8,0.1,0.0,25.0,49.3
2021-11-02,80,8.6,4.2,6.0,1.4,11.5,11.4,0.1,0.0,13.6,34.2
2021-11-03,3,9.0,2.5,5.0,-0.6,0.0,0.0,0.0,0.0,23.8,56.5
2021-11-04,61,9.1,4.5,5.0,-0.9,2.2,2.2,0.0,0.0,31.5,59.8
2021-11-05,51,6.5,2.3,1.9,-1.5,0.2,0.1,0.1,0.0,21.8,41.0
2021-11-06,3,8.4,1.4,4.6,-1.9,0.0,0.0,0.0,0.0,11.5,24.1
2021-11-07,51,7.7,0.1,2.4,-3.4,0.2,0.1,0.1,0.0,21.2,51.5
2021-11-08,3,7.7,2.3,3.9,-1.4,0.0,0.0,0.0,0.0,15.2,38.5
2021-11-09,3,8.1,1.1,4.7,-1.5,0.0,0.0,0.0,0.0,21.3,56.2
2021-11-10,3,7.9,2.1,3.9,-1.7,0.0,0.0,0.0,0.0,21.9,54.7
2021-11-11,3,7.7,1.2,5.3,-2.3,0.0,0.0,0.0,0.0,13.9,23.0
2021-11-12,2,8.4,0.4,4.9,-3.4,0.0,0.0,0.0,0.0,11.2,17.3
2021-11-13,3,5.5,-0.3,2.7,-3.8,0.0,0.0,0.0,0.0,8.8,12.2
2021-11-14,3,7.3,0.5,4.0,-2.4,0.0,0.0,0.0,0.0,9.5,15.8
2021-11-15,2,8.5,0.4,4.8,-2.6,0.0,0.0,0.0,0.0,16.0,50.4
2021-11-16,3,7.3,2.7,2.0,-1.8,0.0,0.0,0.0,0.0,22.9,60.1
2021-11-17,3,4.8,2.0,1.2,-1.6,0.0,0.0,0.0,0.0,14.2,34.2
2021-11-18,3,6.6,1.8,2.6,-2.3,0.0,0.0,0.0,0.0,18.3,46.1
2021-11-19,51,7.6,4.4,3.8,-0.3,0.2,0.2,0.0,0.0,20.7,49.3
2021-11-20,3,8.9,2.3,6.1,-0.6,0.0,0.0,0.0,0.0,18.0,38.2
2021-11-21,3,7.6,1.0,4.4,-1.9,0.0,0.0,0.0,0.0,9.9,15.5
2021-11-22,71,4.2,0.5,1.1,-3.4,3.2,3.0,0.0,0.14,15.9,31.3
2021-11-23,3,3.3,-2.8,-0.7,-6.2,0.0,0.0,0.0,0.0,9.4,14.0
2021-11-24,3,4.2,-1.6,1.0,-6.2,0.0,0.0,0.0,0.0,17.8,49.3
2021-11-25,3,3.0,-2.6,-1.2,-7.6,0.0,0.0,0.0,0.0,17.2,46.4
2021-11-26,73,0.5,-2.9,-2.4,-6.3,1.7,0.5,0.0,0.84,9.1,31.3
2021-11-27,3,1.5,-5.6,-3.1,-9.7,0.0,0.0,0.0,0.0,15.6,33.8
2021-11-28,73,-0.2,-4.3,-3.5,-7.7,6.2,2.1,0.0,2.87,11.3,25.2
2021-11-29,85,0.2,-5.9,-4.5,-9.8,1.2,0.2,0.7,0.63,18.2,42.5
2021-11-30,73,0.9,-3.6,-4.4,-9.1,11.7,6.4,0.0,3.71,35.7,76.0
2021-12-01,73,6.1,1.2,1.1,-3.6,9.0,8.3,0.2,0.35,24.5,54.0
2021-12-02,85,5.7,-1.1,0.3,-5.7,2.5,1.0,0.6,0.7,24.9,50.4
2021-12-03,3,0.9,-3.5,-4.2,-7.6,0.0,0.0,0.0,0.0,15.9,40.0
2021-12-04,73,0.2,-2.6,-4.2,-7.2,8.5,4.0,0.0,3.15,15.6,42.8
2021-12-05,51,2.8,-3.9,-1.3,-7.2,0.6,0.6,0.0,0.0,17.1,42.1
2021-12-06,85,-0.1,-7.0,-4.0,-10.7,0.6,0.0,0.2,0.42,14.2,26.6
2021-12-07,73,0.4,-8.6,-2.4,-12.7,0.5,0.2,0.0,0.21,6.8,13.3
2021-12-08,71,-0.9,-5.0,-4.4,-9.9,0.2,0.1,0.0,0.07,22.1,46.1
2021-12-09,73,-1.2,-2.4,-4.6,-7.3,7.2,2.1,0.0,3.57,18.5,38.9
2021-12-10,73,0.3,-4.5,-3.8,-8.5,1.5,0.5,0.0,0.7,24.0,46.8
2021-12-11,71,-0.4,-7.6,-3.3,-11.6,0.1,0.0,0.0,0.07,10.9,22.7
2021-12-12,71,0.8,-7.2,-2.9,-11.2,0.1,0.0,0.0,0.07,11.9,32.0
2021-12-13,51,2.0,0.7,-0.3,-2.8,0.1,0.1,0.0,0.0,10.1,29.5
2021-12-14,45,3.3,1.4,1.0,-1.1,0.0,0.0,0.0,0.0,5.1,20.2
2021-12-15,3,4.8,-1.7,2.3,-4.8,0.0,0.0,0.0,0.0,6.3,14.4
2021-12-16,51,4.6,0.6,0.2,-2.4,0.5,0.5,0.0,0.0,19.4,36.0
2021-12-17,3,2.8,0.6,-2.2,-4.2,0.0,0.0,0.0,0.0,23.9,48.2
2021-12-18,3,3.9,0.2,-0.3,-4.2,0.0,0.0,0.0,0.0,15.9,38.5
2021-12-19,85,3.9,1.3,-1.3,-3.8,0.8,0.5,0.2,0.07,26.8,52.2
2021-12-20,85,2.3,-3.6,-2.9,-7.5,1.1,0.3,0.5,0.35,23.2,39.6
2021-12-21,71,-1.0,-4.8,-5.0,-8.4,0.2,0.0,0.0,0.14,7.9,14.8
2021-12-22,3,-1.9,-6.1,-5.5,-10.1,0.0,0.0,0.0,0.0,8.1,16.6
2021-12-23,71,2.2,-5.8,-3.4,-10.1,1.5,1.2,0.0,0.21,23.5,60.8
2021-12-24,51,6.5,2.8,1.2,-2.9,1.4,1.4,0.0,0.0,33.0,75.2
2021-12-25,73,-0.2,-7.8,-4.2,-11.6,5.5,1.6,0.0,2.73,13.5,22.3
2021-12-26,3,-2.6,-10.0,-6.7,-14.0,0.0,0.0,0.0,0.0,6.4,14.8
2021-12-27,3,-0.7,-8.2,-5.1,-12.2,0.0,0.0,0.0,0.0,12.0,27.4
2021-12-28,73,2.6,-6.9,-1.3,-10.8,7.9,6.8,0.0,0.77,19.2,52.2
2021-12-29,51,4.3,-0.3,0.7,-3.7,1.7,1.7,0.0,0.0,16.2,42.5
2021-12-30,61,10.1,0.8,6.9,-2.6,5.4,5.3,0.1,0.0,20.2,51.8
2021-12-31,53,10.5,7.7,7.1,4.2,0.6,0.6,0.0,0.0,22.3,59.4
2022-01-01,3,10.5,5.8,6.9,3.4,0.0,0.0,0.0,0.0,22.2,51.5
2022-01-02,3,9.8,4.1,7.4,1.0,0.0,0.0,0.0,0.0,24.6,64.1
2022-01-03,80,8.5,5.9,4.1,2.0,3.9,3.5,0.4,0.0,27.6,61.9
2022-01-04,55,10.8,4.2,5.7,0.8,10.4,10.4,0.0,0.0,31.1,70.6
2022-01-05,85,4.2,-0.7,1.4,-6.9,2.3,1.9,0.1,0.21,24.4,51.1
2022-01-06,85,0.6,-4.2,-4.9,-8.2,1.2,0.3,0.1,0.56,22.7,47.9
2022-01-07,73,0.3,-5.7,-4.8,-10.1,0.6,0.2,0.0,0.28,14.9,38.5
2022-01-08,73,1.0,-5.7,-3.3,-9.7,2.0,0.8,0.0,0.84,14.0,34.9
2022-01-09,73,1.0,-4.7,-3.2,-8.9,1.9,0.9,0.0,0.7,16.6,45.0
2022-01-10,73,0.1,-5.9,-3.2,-9.7,5.6,1.9,0.0,2.59,12.7,32.4
2022-01-11,0,-1.7,-5.5,-6.2,-9.2,0.0,0.0,0.0,0.0,10.7,32.4
2022-01-12,3,-1.7,-8.9,-6.0,-12.7,0.0,0.0,0.0,0.0,8.0,22.3
2022-01-13,3,2.6,-3.0,-1.6,-6.8,0.0,0.0,0.0,0.0,13.8,40.7
2022-01-14,51,4.2,0.0,-0.4,-4.4,0.1,0.1,0.0,0.0,17.6,46.4
2022-01-15,3,2.0,-4.2,-1.7,-7.7,0.0,0.0,0.0,0.0,13.8,35.6
2022-01-16,71,2.3,-5.0,-1.8,-8.7,0.2,0.0,0.0,0.14,24.1,52.2
2022-01-17,73,1.3,-2.3,-4.8,-6.8,5.7,3.7,0.0,1.4,35.9,77.8
2022-01-18,3,0.8,-3.3,-3.9,-7.4,0.0,0.0,0.0,0.0,16.5,38.5
2022-01-19,71,2.9,-2.5,-1.1,-6.5,0.1,0.0,0.0,0.07,26.2,56.2
2022-01-20,85,1.1,-4.2,-5.6,-10.6,5.3,1.9,0.9,1.89,31.9,60.8
2022-01-21,85,-1.4,-5.7,-7.8,-12.3,1.3,0.1,0.6,0.56,25.6,52.9
2022-01-22,85,-0.1,-8.9,-4.6,-12.9,8.8,2.9,0.6,3.85,26.2,54.7
2022-01-23,73,0.8,-6.6,-2.5,-10.3,2.8,1.7,0.0,0.77,16.8,37.4
2022-01-24,45,1.2,-0.2,-1.0,-2.9,0.0,0.0,0.0,0.0,4.7,20.9
2022-01-25,3,1.8,-0.5,-2.3,-3.8,0.0,0.0,0.0,0.0,12.5,21.6
2022-01-26,3,1.5,-1.0,-2.8,-5.7,0.0,0.0,0.0,0.0,14.8,29.5
2022-01-27,73,2.4,-1.9,-3.2,-6.9,1.4,0.9,0.0,0.35,27.0,57.6
2022-01-28,85,2.0,-0.5,-4.5,-6.3,3.3,1.2,0.6,1.19,29.0,60.5
2022-01-29,73,4.5,-1.0,-2.6,-5.5,2.8,1.5,0.0,0.91,36.4,79.2
2022-01-30,85,5.1,-0.1,-2.0,-6.4,1.2,0.6,0.5,0.21,39.8,80.6
2022-01-31,85,1.3,-1.3,-3.5,-6.1,5.3,2.3,0.1,2.03,22.2,43.2
2022-02-01,85,1.4,-2.3,-3.9,-7.3,7.0,2.5,0.3,2.94,34.0,73.8
2022-02-02,85,2.8,0.1,-3.7,-5.1,7.4,2.0,4.2,2.52,32.1,64.4
2022-02-03,51,3.6,-2.2,-0.3,-6.1,0.9,0.9,0.0,0.0,21.0,39.6
2022-02-04,51,4.8,0.3,0.5,-3.2,0.1,0.1,0.0,0.0,22.9,51.8
2022-02-05,71,4.5,0.2,-1.2,-5.0,0.9,0.8,0.0,0.07,27.0,59.4
2022-02-06,51,4.9,0.8,-1.5,-5.1,0.7,0.7,0.0,0.0,37.6,86.8
2022-02-07,85,2.7,-0.3,-2.1,-6.5,8.9,4.5,2.3,1.96,30.5,60.5
2022-02-08,71,3.9,-0.8,-0.8,-6.3,0.4,0.2,0.0,0.14,27.0,59.4
2022-02-09,3,7.4,2.4,3.1,-1.8,0.0,0.0,0.0,0.0,19.1,46.8
2022-02-10,51,9.3,1.9,5.0,-1.3,0.2,0.0,0.2,0.0,21.4,45.4
2022-02-11,85,4.5,0.1,1.3,-4.5,2.8,1.6,0.3,0.63,25.3,48.2
2022-02-12,85,2.9,-2.4,-0.9,-6.2,0.5,0.1,0.2,0.21,17.8,50.4
2022-02-13,3,5.4,-2.0,0.5,-7.7,0.0,0.0,0.0,0.0,19.9,46.1
2022-02-14,3,4.6,-2.4,-0.5,-8.1,0.0,0.0,0.0,0.0,21.6,46.4
2022-02-15,51,5.4,-0.1,2.4,-3.9,0.2,0.2,0.0,0.0,12.0,38.9
2022-02-16,55,7.9,1.0,2.7,-4.0,2.7,2.7,0.0,0.0,32.7,69.5
2022-02-17,61,10.9,3.9,3.9,-2.5,4.5,2.8,1.7,0.0,45.1,107.6
2022-02-18,53,9.7,1.6,4.4,-3.5,1.5,1.5,0.0,0.0,39.3,89.6
2022-02-19,3,6.3,1.1,-0.5,-4.1,0.0,0.0,0.0,0.0,33.6,84.2
2022-02-20,73,6.5,0.0,1.2,-5.8,2.1,1.3,0.2,0.42,31.7,68.8
2022-02-21,71,7.1,2.3,0.8,-3.8,1.7,1.3,0.2,0.14,35.5,80.3
2022-02-22,85,4.3,0.9,-1.4,-4.5,2.9,1.4,1.0,0.35,29.7,51.1
2022-02-23,55,7.2,0.6,2.0,-2.9,2.5,2.2,0.3,0.0,25.9,57.2
2022-02-24,3,9.0,-0.5,5.4,-4.5,0.0,0.0,0.0,0.0,20.2,56.5
2022-02-25,85,5.5,-0.5,0.9,-5.4,1.4,0.7,0.7,0.14,23.2,50.8
2022-02-26,85,2.7,-1.9,-1.6,-5.4,2.4,0.5,0.6,0.98,17.1,39.2
2022-02-27,3,4.3,-2.8,-0.2,-6.4,0.0,0.0,0.0,0.0,14.0,33.5
2022-02-28,3,1.1,-3.9,-4.6,-8.7,0.0,0.0,0.0,0.0,16.6,30.6
2022-03-01,3,4.6,-4.3,-0.3,-7.9,0.0,0.0,0.0,0.0,10.9,18.4
2022-03-02,3,3.6,-3.7,-1.0,-7.5,0.0,0.0,0.0,0.0,9.9,10.8
2022-03-03,3,3.4,-3.4,-1.3,-7.2,0.0,0.0,0.0,0.0,10.9,14.4
2022-03-04,3,1.9,-4.1,-2.2,-7.9,0.0,0.0,0.0,0.0,9.8,16.9
2022-03-05,3,2.3,-4.1,-2.5,-7.8,0.0,0.0,0.0,0.0,12.8,20.2
2022-03-06,3,0.5,-5.3,-4.1,-9.3,0.0,0.0,0.0,0.0,10.6,16.2
2022-03-07,51,1.9,-5.6,-3.0,-9.6,0.1,0.1,0.0,0.0,15.7,32.4
2022-03-08,3,4.0,-3.4,-0.2,-6.7,0.0,0.0,0.0,0.0,11.8,14.4
2022-03-09,3,6.4,-2.5,2.3,-5.9,0.0,0.0,0.0,0.0,12.1,14.4
2022-03-10,0,6.1,-3.5,2.0,-9.4,0.0,0.0,0.0,0.0,16.8,46.4
2022-03-11,0,2.8,-5.0,-3.9,-11.5,0.0,0.0,0.0,0.0,25.2,58.0
