date,weather_code,temperature_2m_max,temperature_2m_min,apparent_temperature_max,apparent_temperature_min,precipitation_sum,rain_sum,showers_sum,snowfall_sum,wind_speed_10m_max,wind_gusts_10m_max
2021-10-01,61,14.9,10.5,10.6,4.7,13.3,13.3,0.0,0.0,38.9,63.7
2021-10-02,61,15.1,12.3,12.5,9.4,5.2,2.6,2.6,0.0,31.3,58.0
2021-10-03,61,17.2,12.4,13.2,9.0,8.1,8.1,0.0,0.0,44.0,74.9
2021-10-04,3,14.8,11.3,11.7,8.4,0.0,0.0,0.0,0.0,25.4,45.0
2021-10-05,61,14.3,11.0,11.6,8.2,3.6,3.6,0.0,0.0,25.0,35.6
2021-10-06,51,14.4,10.8,11.9,8.8,0.2,0.2,0.0,0.0,21.0,31.7
2021-10-07,3,15.6,10.0,13.8,8.1,0.0,0.0,0.0,0.0,12.7,17.3
2021-10-08,3,16.0,10.2,14.7,8.4,0.0,0.0,0.0,0.0,14.0,17.3
2021-10-09,3,14.8,9.8,11.7,6.6,0.0,0.0,0.0,0.0,15.3,26.6
2021-10-10,53,12.7,8.3,9.2,4.9,0.8,0.8,0.0,0.0,20.9,31.7
2021-10-11,51,13.7,9.8,8.7,3.6,0.3,0.0,0.3,0.0,39.5,49.3
2021-10-12,51,11.2,8.2,7.1,2.4,0.4,0.0,0.4,0.0,30.7,45.7
2021-10-13,53,11.5,7.6,8.4,3.8,1.6,1.6,0.0,0.0,25.9,37.8
2021-10-14,53,13.7,10.9,10.3,7.1,1.2,1.0,0.2,0.0,40.9,59.0
2021-10-15,81,12.9,9.4,7.8,3.4,6.6,6.2,0.4,0.0,40.4,60.1
2021-10-16,51,11.6,9.6,7.5,4.3,1.2,0.9,0.3,0.0,31.4,39.6
2021-10-17,51,11.9,9.0,8.5,5.1,1.1,1.0,0.1,0.0,18.1,25.6
2021-10-18,53,11.7,9.7,10.2,7.5,1.7,1.7,0.0,0.0,19.8,29.5
2021-10-19,63,15.3,10.2,11.3,7.5,8.2,8.0,0.2,0.0,38.7,63.7
2021-10-20,81,15.4,12.7,11.5,7.9,21.6,20.3,1.3,0.0,41.1,73.8
2021-10-21,81,12.4,8.2,9.4,-0.2,10.5,7.5,3.0,0.0,47.6,63.0
2021-10-22,81,9.3,6.5,3.2,-0.3,8.9,7.5,1.4,0.0,52.2,69.5
2021-10-23,3,10.9,6.6,6.1,0.8,0.0,0.0,0.0,0.0,43.8,60.8
2021-10-24,3,11.6,6.5,7.0,2.8,0.0,0.0,0.0,0.0,26.1,44.6
2021-10-25,51,11.3,6.0,8.0,2.4,0.4,0.4,0.0,0.0,24.4,45.4
2021-10-26,55,12.4,9.8,8.6,6.5,2.9,1.1,1.8,0.0,29.1,55.8
2021-10-27,51,14.2,11.9,9.7,8.1,1.4,1.2,0.2,0.0,37.9,58.3
2021-10-28,3,14.7,10.8,11.1,7.4,0.0,0.0,0.0,0.0,32.1,54.4
2021-10-29,3,14.0,9.3,10.2,5.7,0.0,0.0,0.0,0.0,30.9,59.4
2021-10-30,53,13.5,9.5,10.4,6.9,1.3,1.3,0.0,0.0,28.2,52.6
2021-10-31,55,13.9,9.5,9.7,6.9,1.5,1.3,0.2,0.0,39.7,73.1
2021-11-01,55,13.5,8.6,9.0,5.3,1.8,1.7,0.1,0.0,39.3,64.1
2021-11-02,3,10.4,7.6,8.2,5.0,0.0,0.0,0.0,0.0,15.7,29.5
2021-11-03,3,10.2,6.3,8.4,3.9,0.0,0.0,0.0,0.0,12.5,13.0
2021-11-04,51,9.2,6.9,5.8,2.3,1.7,0.4,1.3,0.0,31.5,44.3
2021-11-05,51,10.7,7.1,5.8,2.5,0.3,0.2,0.1,0.0,30.2,48.2
2021-11-06,80,11.8,9.7,7.1,4.4,2.9,1.7,1.2,0.0,42.3,63.4
2021-11-07,80,11.4,7.9,5.8,2.8,6.4,3.3,3.1,0.0,41.1,57.6
2021-11-08,51,9.2,6.7,6.5,2.7,0.9,0.9,0.0,0.0,21.6,32.4
2021-11-09,51,10.6,6.4,5.8,2.7,0.2,0.2,0.0,0.0,32.9,55.1
2021-11-10,51,11.9,10.0,10.4,5.8,0.5,0.5,0.0,0.0,30.2,52.2
2021-11-11,51,11.3,8.7,8.8,5.6,0.1,0.1,0.0,0.0,25.2,38.5
2021-11-12,51,9.8,7.6,6.8,3.0,0.3,0.3,0.0,0.0,27.8,42.8
2021-11-13,55,8.3,7.1,4.8,2.5,3.5,3.5,0.0,0.0,23.9,37.4
2021-11-14,3,9.0,8.1,4.9,3.9,0.0,0.0,0.0,0.0,24.0,35.6
2021-11-15,3,9.2,7.0,6.0,3.8,0.0,0.0,0.0,0.0,21.0,29.9
2021-11-16,3,7.1,6.0,3.9,2.0,0.0,0.0,0.0,0.0,14.7,18.7
2021-11-17,61,9.3,5.2,5.8,0.9,2.3,1.9,0.5,0.0,31.6,58.0
2021-11-18,55,11.8,7.5,7.1,1.7,4.5,4.5,0.0,0.0,38.5,59.4
2021-11-19,51,12.0,10.2,6.7,5.5,0.2,0.2,0.0,0.0,40.8,62.6
2021-11-20,51,11.0,9.8,6.3,3.8,1.6,1.2,0.4,0.0,37.0,54.0
2021-11-21,51,9.8,5.3,4.5,-0.3,0.3,0.0,0.3,0.0,36.2,46.8
2021-11-22,3,8.4,3.3,3.4,-1.0,0.0,0.0,0.0,0.0,29.9,49.3
2021-11-23,3,9.2,7.3,4.4,2.5,0.0,0.0,0.0,0.0,27.9,47.9
2021-11-24,51,9.4,8.1,5.3,3.2,1.0,0.7,0.3,0.0,25.5,42.8
2021-11-25,53,8.5,5.0,4.8,-0.8,3.6,1.7,1.9,0.0,37.7,52.9
2021-11-26,51,5.5,3.2,0.3,-1.1,0.3,0.1,0.2,0.0,25.2,39.2
2021-11-27,51,5.2,3.7,0.0,-1.2,3.8,1.3,2.5,0.0,28.4,41.0
2021-11-28,80,4.4,3.5,1.9,-1.0,5.6,3.1,2.5,0.0,22.8,27.4
2021-11-29,85,3.7,1.1,-1.7,-3.7,1.1,0.0,1.0,0.28,34.2,38.5
2021-11-30,73,6.1,1.1,-0.6,-6.6,4.2,3.6,0.1,0.35,54.3,75.2
2021-12-01,75,7.9,1.1,4.1,-10.5,21.9,18.4,0.3,2.24,72.0,79.2
2021-12-02,85,3.5,-0.4,-2.8,-10.2,1.8,0.4,0.3,0.77,50.9,64.4
2021-12-03,71,6.0,2.4,1.1,-4.5,9.4,8.8,0.3,0.21,37.2,64.4
2021-12-04,51,5.3,2.0,0.6,-2.6,0.2,0.2,0.0,0.0,39.3,42.5
2021-12-05,51,4.4,0.5,-3.3,-6.4,0.4,0.4,0.0,0.0,45.2,64.8
2021-12-06,3,2.1,-0.5,-3.6,-6.4,0.0,0.0,0.0,0.0,30.1,44.6
2021-12-07,45,2.1,1.0,-4.2,-5.6,0.0,0.0,0.0,0.0,32.9,47.2
2021-12-08,71,2.7,1.6,-2.9,-6.9,1.0,0.8,0.0,0.14,46.3,65.5
2021-12-09,71,2.4,0.9,-1.8,-3.9,0.5,0.2,0.0,0.21,26.6,37.4
2021-12-10,51,3.2,1.7,-0.5,-2.0,1.8,1.6,0.2,0.0,17.7,26.3
2021-12-11,71,2.8,1.2,-0.3,-2.9,1.9,1.4,0.1,0.28,23.0,32.4
2021-12-12,55,7.0,2.2,3.5,-1.7,5.7,5.7,0.0,0.0,24.5,43.9
2021-12-13,51,8.8,4.9,5.4,2.0,0.4,0.4,0.0,0.0,22.7,42.1
2021-12-14,61,8.5,5.3,4.6,1.3,3.2,3.2,0.0,0.0,31.3,53.3
