date,weather_code,temperature_2m_max,temperature_2m_min,apparent_temperature_max,apparent_temperature_min,precipitation_sum,rain_sum,showers_sum,snowfall_sum,wind_speed_10m_max,wind_gusts_10m_max
2021-10-01,3,10.5,5.6,8.7,3.2,0.0,0.0,0.0,0.0,10.9,32.4
2021-10-02,2,14.4,5.1,11.1,2.5,0.0,0.0,0.0,0.0,14.8,42.8
2021-10-03,3,13.8,5.4,10.6,2.2,0.0,0.0,0.0,0.0,18.8,49.7
2021-10-04,3,16.1,7.5,12.0,3.4,0.0,0.0,0.0,0.0,20.5,53.3
2021-10-05,3,14.6,9.6,10.6,5.8,0.0,0.0,0.0,0.0,20.1,52.2
2021-10-06,3,15.8,8.7,10.9,4.2,0.0,0.0,0.0,0.0,24.2,59.0
2021-10-07,3,14.2,8.3,9.8,4.7,0.0,0.0,0.0,0.0,19.2,45.7
2021-10-08,3,12.8,5.0,9.0,2.1,0.0,0.0,0.0,0.0,15.8,36.4
2021-10-09,3,14.0,8.0,10.6,5.4,0.0,0.0,0.0,0.0,15.6,37.4
2021-10-10,51,12.9,7.0,9.1,3.8,0.4,0.4,0.0,0.0,19.6,45.0
2021-10-11,3,11.3,4.7,6.4,1.2,0.0,0.0,0.0,0.0,21.4,42.1
2021-10-12,51,10.8,4.9,7.5,0.9,0.5,0.0,0.5,0.0,15.2,38.9
2021-10-13,51,11.0,3.3,8.9,0.9,1.0,0.0,1.0,0.0,8.8,18.4
2021-10-14,3,9.7,2.0,6.5,-0.2,0.0,0.0,0.0,0.0,15.1,45.0
2021-10-15,61,10.8,4.7,7.5,0.6,5.2,4.5,0.7,0.0,32.4,59.0
2021-10-16,51,10.0,4.6,4.8,0.4,1.3,0.1,1.2,0.0,24.4,47.2
2021-10-17,51,9.1,2.9,4.6,-1.4,0.2,0.0,0.2,0.0,18.1,46.8
2021-10-18,51,7.7,1.9,3.0,-2.2,0.8,0.1,0.7,0.0,18.4,45.0
2021-10-19,3,5.9,-0.6,2.3,-4.5,0.0,0.0,0.0,0.0,16.2,41.4
2021-10-20,63,12.7,4.4,8.9,-0.3,17.6,17.5,0.1,0.0,33.6,71.3
2021-10-21,81,13.1,7.9,10.2,1.6,11.3,8.2,3.1,0.0,38.6,79.6
2021-10-22,51,8.2,4.3,2.0,-0.2,0.7,0.0,0.7,0.0,34.7,69.1
2021-10-23,71,4.6,2.0,0.5,-2.1,3.8,3.0,0.7,0.07,21.4,42.8
2021-10-24,3,6.5,-1.7,2.7,-5.4,0.0,0.0,0.0,0.0,18.5,45.0
2021-10-25,3,8.7,6.4,4.6,2.3,0.0,0.0,0.0,0.0,22.4,47.5
2021-10-26,53,9.1,6.8,6.5,3.1,2.0,1.9,0.1,0.0,17.3,40.7
2021-10-27,63,11.2,7.5,8.4,3.8,7.5,7.5,0.0,0.0,27.1,59.4
2021-10-28,45,11.9,5.6,10.2,3.3,0.0,0.0,0.0,0.0,19.6,53.6
2021-10-29,3,11.4,8.0,8.1,5.1,0.0,0.0,0.0,0.0,19.8,51.8
2021-10-30,3,12.0,4.9,8.9,2.4,0.0,0.0,0.0,0.0,13.5,43.6
2021-10-31,3,11.0,4.9,7.4,2.2,0.0,0.0,0.0,0.0,17.2,49.3
2021-11-01,3,11.2,4.9,8.0,1.1,0.0,0.0,0.0,0.0,14.2,46.8
2021-11-02,0,9.0,3.1,5.5,-0.5,0.0,0.0,0.0,0.0,16.6,46.4
2021-11-03,53,7.7,3.9,5.0,0.4,4.9,4.7,0.2,0.0,14.5,40.0
2021-11-04,53,9.3,4.8,5.9,2.2,2.0,2.0,0.0,0.0,21.4,42.8
2021-11-05,63,9.1,5.6,6.0,2.4,10.5,9.6,0.9,0.0,19.7,46.1
2021-11-06,55,7.1,2.4,3.6,-1.0,3.7,1.1,2.6,0.0,17.8,42.5
2021-11-07,81,7.3,2.1,4.7,-2.5,12.4,11.7,0.7,0.0,20.4,45.0
2021-11-08,85,2.8,-1.8,-2.5,-5.7,8.4,7.2,0.2,0.84,27.0,57.6
2021-11-09,51,3.1,-1.7,-1.8,-5.2,0.2,0.2,0.0,0.0,23.5,56.9
2021-11-10,71,9.5,1.2,5.9,-4.1,3.6,3.3,0.2,0.07,22.6,60.5
2021-11-11,55,8.3,4.6,4.9,2.1,1.5,1.0,0.5,0.0,21.5,44.6
2021-11-12,3,6.9,2.0,2.2,-0.9,0.0,0.0,0.0,0.0,23.1,50.4
2021-11-13,3,4.2,1.1,1.8,-1.5,0.0,0.0,0.0,0.0,7.0,13.3
2021-11-14,3,4.6,-0.9,1.6,-4.1,0.0,0.0,0.0,0.0,8.7,20.5
2021-11-15,3,1.8,-1.0,-2.1,-5.0,0.0,0.0,0.0,0.0,13.5,45.4
2021-11-16,3,3.8,1.2,0.4,-3.1,0.0,0.0,0.0,0.0,15.3,45.0
2021-11-17,51,3.7,2.9,0.2,-1.0,0.2,0.2,0.0,0.0,14.8,38.2
2021-11-18,53,6.4,1.8,1.9,-1.3,4.1,3.8,0.3,0.0,22.0,43.2
2021-11-19,55,8.1,0.4,4.0,-3.0,2.5,2.5,0.0,0.0,26.3,64.4
2021-11-20,51,6.7,2.1,1.1,-1.8,0.2,0.0,0.2,0.0,28.5,65.9
2021-11-21,85,3.0,-1.7,-0.6,-6.6,0.5,0.0,0.3,0.21,19.4,37.8
2021-11-22,51,0.2,-2.4,-4.6,-6.8,0.1,0.1,0.0,0.0,12.4,33.5
2021-11-23,71,0.8,-2.3,-1.9,-6.1,1.1,0.6,0.1,0.28,18.6,46.8
2021-11-24,3,5.4,-1.7,0.9,-4.8,0.0,0.0,0.0,0.0,24.0,58.0
2021-11-25,53,6.7,3.5,2.5,-1.0,3.6,3.2,0.4,0.0,25.2,49.7
2021-11-26,73,3.4,-0.8,-0.7,-4.7,10.8,9.6,0.0,0.84,20.2,44.6
2021-11-27,3,-0.7,-1.6,-5.1,-7.6,0.0,0.0,0.0,0.0,21.7,49.3
2021-11-28,73,-1.4,-3.1,-5.7,-7.3,4.1,1.7,0.0,1.68,16.8,40.7
2021-11-29,73,-2.0,-4.3,-7.1,-9.3,2.2,0.5,0.0,1.19,19.6,45.4
2021-11-30,71,-2.4,-6.1,-7.7,-11.6,0.4,0.1,0.0,0.21,18.9,39.6
2021-12-01,3,-3.2,-8.7,-8.3,-12.5,0.0,0.0,0.0,0.0,17.4,41.8
2021-12-02,71,-3.3,-6.9,-8.9,-12.0,0.5,0.1,0.0,0.28,19.4,46.1
2021-12-03,71,-3.2,-6.0,-7.7,-11.8,1.0,0.5,0.0,0.35,19.6,49.3
2021-12-04,3,-4.2,-9.2,-7.8,-13.6,0.0,0.0,0.0,0.0,8.1,24.5
