date,weather_code,temperature_2m_max,temperature_2m_min,apparent_temperature_max,apparent_temperature_min,precipitation_sum,rain_sum,showers_sum,snowfall_sum,wind_speed_10m_max,wind_gusts_10m_max
2021-10-01,3,9.5,6.5,6.0,3.3,0.0,0.0,0.0,0.0,17.7,44.6
2021-10-02,3,12.1,5.9,9.1,3.6,0.0,0.0,0.0,0.0,17.9,46.4
2021-10-03,3,12.8,5.3,8.7,2.5,0.0,0.0,0.0,0.0,22.4,58.0
2021-10-04,3,13.2,8.1,8.8,3.7,0.0,0.0,0.0,0.0,25.1,65.9
2021-10-05,55,10.4,9.2,8.1,5.9,2.1,2.1,0.0,0.0,19.9,49.3
2021-10-06,55,11.2,8.4,7.4,5.2,4.1,4.1,0.0,0.0,23.8,56.5
2021-10-07,53,11.8,6.4,8.5,4.0,4.5,3.3,1.2,0.0,22.9,53.6
2021-10-08,55,11.0,5.2,9.0,2.9,3.3,3.3,0.0,0.0,16.8,41.4
2021-10-09,3,13.5,9.1,11.4,7.6,0.0,0.0,0.0,0.0,14.8,36.4
2021-10-10,3,13.2,9.6,10.7,6.0,0.0,0.0,0.0,0.0,19.7,43.6
2021-10-11,53,10.4,6.9,6.9,3.4,3.9,3.6,0.3,0.0,20.6,46.8
2021-10-12,53,7.4,5.1,5.3,3.0,4.7,3.4,1.3,0.0,14.8,32.0
2021-10-13,3,7.7,2.0,5.3,-0.8,0.0,0.0,0.0,0.0,6.4,10.8
2021-10-14,3,5.9,0.0,1.7,-3.1,0.0,0.0,0.0,0.0,22.4,49.3
2021-10-15,81,7.5,3.6,4.5,-0.4,6.6,6.2,0.4,0.0,23.3,51.1
2021-10-16,85,2.8,0.9,-1.2,-4.6,5.1,2.9,0.3,1.33,27.9,58.3
2021-10-17,71,3.6,1.6,-1.3,-3.7,1.7,1.5,0.0,0.14,23.8,52.2
2021-10-18,51,2.8,-0.7,-1.0,-5.1,0.3,0.1,0.2,0.0,19.4,38.5
2021-10-19,3,1.7,-2.0,-2.6,-6.4,0.0,0.0,0.0,0.0,16.0,39.2
2021-10-20,75,6.6,-0.7,4.0,-6.3,31.4,17.0,0.0,10.08,27.0,64.4
2021-10-21,51,7.2,3.9,4.7,1.0,0.5,0.3,0.2,0.0,12.6,38.5
2021-10-22,73,4.8,-0.2,1.1,-5.6,24.9,17.8,0.0,4.97,24.9,56.9
2021-10-23,71,0.2,-7.4,-4.0,-11.2,0.9,0.3,0.0,0.42,21.3,46.1
2021-10-24,73,1.1,-8.8,-2.9,-12.6,3.2,2.1,0.0,0.77,14.1,40.3
2021-10-25,61,5.9,1.7,2.9,-2.1,7.7,7.7,0.0,0.0,15.6,39.2
2021-10-26,51,7.5,5.3,4.3,2.2,0.5,0.1,0.4,0.0,15.9,39.6
2021-10-27,53,6.1,4.6,3.6,2.1,3.5,2.5,1.0,0.0,10.5,28.1
2021-10-28,55,9.1,4.2,6.8,1.6,5.2,5.2,0.0,0.0,15.1,42.5
2021-10-29,51,10.4,6.8,7.6,4.1,0.1,0.1,0.0,0.0,20.2,42.5
2021-10-30,3,8.7,5.0,5.8,2.0,0.0,0.0,0.0,0.0,15.5,43.2
2021-10-31,55,7.4,4.3,4.7,1.9,1.1,1.1,0.0,0.0,12.3,36.4
2021-11-01,51,8.3,5.8,4.6,3.0,0.1,0.1,0.0,0.0,20.7,49.3
2021-11-02,3,7.2,4.0,3.4,0.6,0.0,0.0,0.0,0.0,17.4,47.2
2021-11-03,55,5.0,3.8,2.5,-0.3,2.6,2.6,0.0,0.0,15.7,38.5
2021-11-04,53,6.8,5.1,4.3,2.6,4.7,4.6,0.1,0.0,13.5,33.1
2021-11-05,53,6.1,3.3,3.8,-0.3,1.1,0.9,0.2,0.0,13.0,30.6
2021-11-06,45,3.9,1.7,0.2,-2.3,0.0,0.0,0.0,0.0,16.6,35.3
2021-11-07,3,1.5,-1.6,-1.8,-6.1,0.0,0.0,0.0,0.0,16.3,30.2
2021-11-08,3,-0.7,-3.3,-5.5,-7.2,0.0,0.0,0.0,0.0,16.8,38.2
2021-11-09,73,2.5,-3.9,-1.7,-7.6,3.5,1.4,0.0,1.47,20.6,53.3
2021-11-10,51,4.0,0.9,0.3,-2.9,0.2,0.2,0.0,0.0,18.4,55.4
2021-11-11,53,4.2,2.3,0.6,-2.7,1.5,1.5,0.0,0.0,21.1,52.6
2021-11-12,45,2.8,1.6,0.2,-2.0,0.0,0.0,0.0,0.0,10.9,25.6
2021-11-13,3,2.0,-0.6,-1.1,-3.9,0.0,0.0,0.0,0.0,9.0,24.1
2021-11-14,3,0.9,-2.2,-3.3,-5.8,0.0,0.0,0.0,0.0,11.2,36.7
2021-11-15,3,3.6,-2.7,-2.0,-6.9,0.0,0.0,0.0,0.0,24.5,58.7
2021-11-16,45,3.4,1.2,0.2,-2.8,0.0,0.0,0.0,0.0,19.7,52.2
2021-11-17,51,4.8,3.6,1.2,-0.3,0.2,0.2,0.0,0.0,16.6,42.1
2021-11-18,71,4.5,0.1,0.8,-4.4,7.8,7.7,0.0,0.07,17.8,41.8
2021-11-19,3,1.5,-0.1,-2.4,-4.5,0.0,0.0,0.0,0.0,17.2,43.6
2021-11-20,73,1.3,-1.5,-3.7,-5.5,0.9,0.2,0.0,0.49,18.1,47.5
2021-11-21,3,-0.5,-3.6,-4.9,-9.5,0.0,0.0,0.0,0.0,22.1,51.8
2021-11-22,73,-2.8,-4.6,-6.3,-8.8,1.2,0.4,0.0,0.56,12.5,35.6
2021-11-23,73,-0.3,-5.2,-5.5,-8.6,4.5,1.6,0.0,2.03,21.3,55.1
2021-11-24,71,2.3,-5.0,-2.8,-8.2,0.7,0.5,0.0,0.14,24.0,52.9
2021-11-25,75,-3.1,-11.5,-7.6,-15.5,12.9,3.6,0.0,6.51,19.6,47.9
2021-11-26,71,-7.1,-10.9,-10.9,-15.1,0.4,0.1,0.0,0.21,9.7,31.7
2021-11-27,3,-9.6,-13.1,-13.0,-17.2,0.0,0.0,0.0,0.0,5.4,21.2
2021-11-28,3,-9.7,-12.9,-13.5,-17.0,0.0,0.0,0.0,0.0,8.4,27.0
2021-11-29,3,-8.3,-10.3,-12.9,-15.3,0.0,0.0,0.0,0.0,14.8,43.9
2021-11-30,71,-7.2,-9.7,-12.9,-15.4,2.3,0.9,0.0,0.98,21.9,45.4
2021-12-01,71,-7.9,-13.1,-13.1,-17.4,0.3,0.2,0.0,0.07,18.7,42.8
2021-12-02,3,-12.0,-15.0,-15.9,-19.3,0.0,0.0,0.0,0.0,5.7,22.0
2021-12-03,51,-7.2,-12.8,-12.1,-17.1,0.2,0.2,0.0,0.0,14.8,40.3
2021-12-04,3,-10.5,-13.7,-16.3,-19.0,0.0,0.0,0.0,0.0,16.5,53.3
2021-12-05,45,-13.5,-16.4,-17.8,-20.9,0.0,0.0,0.0,0.0,12.5,40.7
2021-12-06,3,-11.6,-14.4,-16.3,-19.1,0.0,0.0,0.0,0.0,9.2,33.1
2021-12-07,51,-11.8,-16.6,-16.2,-21.1,0.2,0.2,0.0,0.0,7.8,25.6
2021-12-08,3,-15.6,-18.1,-19.9,-22.3,0.0,0.0,0.0,0.0,5.5,17.3
2021-12-09,3,-12.4,-18.1,-17.4,-22.4,0.0,0.0,0.0,0.0,10.5,39.6
2021-12-10,3,-5.7,-12.9,-11.0,-17.9,0.0,0.0,0.0,0.0,19.2,61.6
2021-12-11,71,-4.3,-5.3,-8.7,-10.4,1.1,0.2,0.0,0.63,14.9,49.7
2021-12-12,71,-2.5,-6.1,-5.5,-9.5,0.8,0.3,0.0,0.35,11.3,33.8
2021-12-13,51,0.0,-8.3,-3.8,-12.2,0.1,0.1,0.0,0.0,11.4,33.8
2021-12-14,73,1.1,-4.0,-2.6,-7.7,1.7,0.9,0.0,0.56,14.7,42.1
2021-12-15,3,2.4,-3.7,-2.5,-7.6,0.0,0.0,0.0,0.0,20.5,57.6
2021-12-16,3,0.9,-2.1,-4.3,-6.5,0.0,0.0,0.0,0.0,21.1,55.8
2021-12-17,3,-0.1,-5.8,-4.8,-9.3,0.0,0.0,0.0,0.0,16.0,51.5
2021-12-18,73,1.7,-1.6,-2.1,-6.2,0.8,0.3,0.0,0.35,18.2,47.5
2021-12-19,71,-1.6,-11.3,-6.6,-16.9,0.2,0.1,0.0,0.07,16.9,45.4
2021-12-20,71,-9.7,-14.4,-15.2,-20.0,0.2,0.1,0.0,0.07,15.8,51.5
2021-12-21,3,-12.1,-14.2,-17.3,-18.9,0.0,0.0,0.0,0.0,11.5,37.8
