date,weather_code,temperature_2m_max,temperature_2m_min,apparent_temperature_max,apparent_temperature_min,precipitation_sum,rain_sum,showers_sum,snowfall_sum,wind_speed_10m_max,wind_gusts_10m_max
2021-10-01,51,20.4,7.5,15.9,4.5,0.7,0.7,0.0,0.0,20.5,46.4
2021-10-02,51,22.9,12.4,18.8,10.5,0.2,0.2,0.0,0.0,38.2,69.5
2021-10-03,81,22.3,10.4,17.1,8.5,11.8,10.8,1.0,0.0,40.2,77.4
2021-10-04,3,18.8,8.3,16.4,5.9,0.0,0.0,0.0,0.0,15.0,35.6
2021-10-05,61,16.2,8.7,12.2,5.6,6.8,5.8,1.0,0.0,32.7,58.0
2021-10-06,2,16.6,6.4,12.4,3.5,0.0,0.0,0.0,0.0,20.9,35.6
2021-10-07,3,16.7,6.2,13.8,4.6,0.0,0.0,0.0,0.0,15.3,32.8
2021-10-08,2,18.7,6.5,14.7,4.0,0.0,0.0,0.0,0.0,25.8,40.7
2021-10-09,0,17.8,7.5,14.5,5.8,0.0,0.0,0.0,0.0,16.1,16.2
2021-10-10,2,17.5,6.3,14.6,4.3,0.0,0.0,0.0,0.0,15.9,20.9
2021-10-11,3,16.5,4.5,13.7,1.8,0.0,0.0,0.0,0.0,18.2,29.5
2021-10-12,3,15.6,5.1,12.2,2.7,0.0,0.0,0.0,0.0,15.3,18.0
2021-10-13,3,14.5,4.9,10.4,1.6,0.0,0.0,0.0,0.0,17.4,20.9
2021-10-14,2,16.2,3.4,11.6,-0.0,0.0,0.0,0.0,0.0,22.4,31.3
2021-10-15,3,17.2,6.4,14.2,3.1,0.0,0.0,0.0,0.0,9.0,11.9
2021-10-16,3,18.3,5.5,15.1,2.8,0.0,0.0,0.0,0.0,16.2,27.0
2021-10-17,3,21.6,6.8,19.7,4.4,0.0,0.0,0.0,0.0,10.4,9.7
2021-10-18,3,22.1,10.0,20.0,7.7,0.0,0.0,0.0,0.0,13.8,16.6
2021-10-19,3,25.2,13.8,20.8,10.9,0.0,0.0,0.0,0.0,20.8,51.1
2021-10-20,53,22.1,15.1,18.2,8.6,3.2,1.3,1.9,0.0,44.8,91.4
2021-10-21,51,17.2,10.6,12.0,6.7,1.2,0.0,1.2,0.0,41.6,77.4
2021-10-22,51,13.3,4.6,9.5,2.0,0.1,0.0,0.1,0.0,14.1,18.7
2021-10-23,0,13.9,3.1,9.8,-0.1,0.0,0.0,0.0,0.0,18.6,25.6
2021-10-24,3,18.9,3.4,14.6,0.1,0.0,0.0,0.0,0.0,15.6,19.1
2021-10-25,51,15.1,7.3,12.6,4.6,0.6,0.3,0.3,0.0,17.7,33.8
2021-10-26,51,14.8,7.8,13.3,5.8,0.4,0.0,0.4,0.0,11.2,27.7
2021-10-27,3,18.1,6.4,14.4,4.0,0.0,0.0,0.0,0.0,17.1,20.9
2021-10-28,0,20.7,7.5,15.8,4.4,0.0,0.0,0.0,0.0,26.4,51.5
2021-10-29,53,17.3,12.2,12.2,8.7,2.9,2.1,0.8,0.0,32.0,64.4
2021-10-30,80,18.2,11.3,15.2,10.0,4.8,2.9,1.9,0.0,27.1,54.0
2021-10-31,80,21.4,10.0,17.1,7.6,3.4,2.4,1.0,0.0,36.8,61.6
2021-11-01,55,13.7,8.3,8.6,4.7,4.1,1.8,2.3,0.0,29.2,46.8
2021-11-02,81,11.8,7.1,7.9,3.0,16.8,14.7,2.2,0.0,30.1,49.7
2021-11-03,53,9.1,4.1,5.8,1.2,2.2,0.9,1.3,0.0,31.2,47.2
2021-11-04,51,9.3,2.7,6.5,-0.4,0.2,0.0,0.2,0.0,14.8,19.1
2021-11-05,51,9.2,4.7,5.4,2.3,0.5,0.0,0.5,0.0,16.9,29.9
2021-11-06,3,10.4,1.9,7.4,-0.7,0.0,0.0,0.0,0.0,9.7,16.6
2021-11-07,51,7.6,2.1,5.9,-1.3,0.1,0.1,0.0,0.0,16.4,32.8
2021-11-08,3,10.7,2.8,7.2,0.5,0.0,0.0,0.0,0.0,15.9,21.6
2021-11-09,3,10.3,1.2,6.0,-2.0,0.0,0.0,0.0,0.0,16.6,22.7
2021-11-10,3,13.4,2.5,10.5,-0.6,0.0,0.0,0.0,0.0,10.7,15.1
2021-11-11,3,16.5,5.0,13.8,1.9,0.0,0.0,0.0,0.0,12.2,16.6
2021-11-12,3,17.5,6.9,15.5,4.6,0.0,0.0,0.0,0.0,12.7,13.7
2021-11-13,51,11.3,7.8,9.0,5.3,1.3,0.5,0.8,0.0,16.6,33.5
2021-11-14,55,9.5,6.2,7.6,4.1,2.9,2.4,0.5,0.0,9.7,31.0
2021-11-15,51,8.5,4.1,5.5,1.7,0.3,0.3,0.0,0.0,16.0,26.3
2021-11-16,3,7.7,5.1,5.3,2.8,0.0,0.0,0.0,0.0,8.4,14.4
2021-11-17,3,9.0,3.7,7.0,1.1,0.0,0.0,0.0,0.0,9.4,11.9
2021-11-18,3,10.8,4.6,8.5,1.7,0.0,0.0,0.0,0.0,12.6,15.5
2021-11-19,3,12.0,2.4,7.6,-1.4,0.0,0.0,0.0,0.0,18.4,33.1
2021-11-20,3,13.9,3.9,11.5,0.7,0.0,0.0,0.0,0.0,10.2,8.3
2021-11-21,51,8.3,4.3,5.0,1.9,0.3,0.3,0.0,0.0,10.7,21.6
2021-11-22,51,6.4,4.6,1.7,-1.8,0.1,0.1,0.0,0.0,30.3,48.6
2021-11-23,3,8.1,0.5,2.6,-5.0,0.0,0.0,0.0,0.0,28.4,49.3
2021-11-24,3,8.4,-0.7,5.0,-4.7,0.0,0.0,0.0,0.0,13.3,33.8
2021-11-25,53,4.7,0.5,0.4,-2.5,2.4,2.4,0.0,0.0,16.1,29.9
2021-11-26,53,6.6,0.0,1.4,-2.8,2.4,1.3,1.1,0.0,34.4,58.7
2021-11-27,73,4.5,0.8,-0.3,-3.7,7.6,5.1,1.3,0.84,28.2,47.9
2021-11-28,73,3.4,-2.2,-2.0,-6.4,6.8,4.2,0.9,1.19,32.0,52.2
2021-11-29,3,3.8,-2.5,-0.0,-6.7,0.0,0.0,0.0,0.0,11.4,27.4
2021-11-30,3,6.5,-1.7,1.1,-6.2,0.0,0.0,0.0,0.0,25.0,54.0
2021-12-01,61,10.1,4.1,5.5,-0.2,4.1,2.7,1.4,0.0,37.0,70.9
2021-12-02,53,5.1,-0.4,2.0,-4.2,2.2,1.4,0.8,0.0,22.7,36.7
2021-12-03,61,9.1,-1.7,3.6,-5.2,8.8,8.8,0.0,0.0,35.8,72.4
2021-12-04,81,11.3,4.0,7.7,-0.6,20.2,15.3,4.9,0.0,37.4,66.6
2021-12-05,51,6.5,2.2,0.8,-2.3,1.2,0.2,1.1,0.0,31.2,49.3
2021-12-06,51,7.6,3.5,2.9,-0.9,1.6,1.0,0.6,0.0,28.3,58.0
2021-12-07,61,9.2,3.2,4.4,-0.3,4.4,4.3,0.1,0.0,40.5,69.5
2021-12-08,53,6.6,0.8,2.4,-3.2,2.4,0.1,2.3,0.0,25.8,45.7
2021-12-09,63,6.1,-0.5,2.2,-4.9,7.4,7.4,0.0,0.0,34.8,59.8
2021-12-10,63,8.4,2.2,1.9,-2.1,8.8,4.2,4.6,0.0,39.5,66.2
2021-12-11,3,6.4,0.6,3.3,-2.9,0.0,0.0,0.0,0.0,16.4,36.4
2021-12-12,3,10.9,4.3,9.3,1.0,0.0,0.0,0.0,0.0,12.0,20.9
2021-12-13,3,12.7,4.1,11.1,0.9,0.0,0.0,0.0,0.0,11.9,20.5
2021-12-14,2,12.1,4.2,9.7,1.6,0.0,0.0,0.0,0.0,12.7,16.6
