date,weather_code,temperature_2m_max,temperature_2m_min,apparent_temperature_max,apparent_temperature_min,precipitation_sum,rain_sum,showers_sum,snowfall_sum,wind_speed_10m_max,wind_gusts_10m_max
2021-10-01,3,17.5,7.1,14.2,4.7,0.0,0.0,0.0,0.0,16.8,30.2
2021-10-02,3,20.0,10.3,16.9,8.7,0.0,0.0,0.0,0.0,24.9,59.8
2021-10-03,3,20.1,14.6,17.6,13.0,0.0,0.0,0.0,0.0,23.5,59.4
2021-10-04,53,13.7,9.2,11.7,8.3,3.2,3.1,0.1,0.0,16.0,28.4
2021-10-05,61,13.6,10.1,12.3,9.1,6.3,6.1,0.2,0.0,17.9,46.8
2021-10-06,51,14.6,9.7,10.4,6.7,0.7,0.1,0.6,0.0,21.4,42.8
2021-10-07,3,15.5,8.1,13.9,6.7,0.0,0.0,0.0,0.0,10.0,8.6
2021-10-08,3,15.5,6.0,12.6,3.3,0.0,0.0,0.0,0.0,16.7,36.7
2021-10-09,3,13.6,3.9,9.9,1.2,0.0,0.0,0.0,0.0,15.5,25.9
2021-10-10,3,14.5,2.5,12.0,0.2,0.0,0.0,0.0,0.0,6.6,7.6
2021-10-11,51,12.9,4.1,10.1,1.2,0.3,0.0,0.3,0.0,14.7,31.3
2021-10-12,80,10.7,4.2,8.2,1.9,6.9,5.8,1.1,0.0,17.7,41.0
2021-10-13,51,11.4,3.7,8.0,1.3,0.5,0.1,0.4,0.0,14.3,25.9
2021-10-14,51,10.7,7.5,8.2,4.6,1.6,1.6,0.0,0.0,17.2,43.6
2021-10-15,53,13.3,5.3,9.6,3.3,0.9,0.8,0.1,0.0,23.0,53.6
2021-10-16,3,11.9,3.4,9.6,1.2,0.0,0.0,0.0,0.0,5.9,10.1
2021-10-17,3,12.8,3.3,10.2,0.9,0.0,0.0,0.0,0.0,7.6,10.8
2021-10-18,3,13.8,4.6,10.9,2.3,0.0,0.0,0.0,0.0,12.5,22.3
2021-10-19,51,13.6,6.5,11.1,4.5,0.1,0.0,0.1,0.0,20.7,60.5
