date,weather_code,temperature_2m_max,temperature_2m_min,apparent_temperature_max,apparent_temperature_min,precipitation_sum,rain_sum,showers_sum,snowfall_sum,wind_speed_10m_max,wind_gusts_10m_max
2021-10-01,53,12.6,7.4,11.0,5.8,2.4,0.0,2.4,0.0,11.0,8.6
2021-10-02,51,15.2,6.9,12.6,5.1,0.2,0.0,0.2,0.0,10.0,9.4
2021-10-03,3,17.9,5.8,15.9,4.0,0.0,0.0,0.0,0.0,9.7,6.8
2021-10-04,3,19.3,7.5,17.0,5.9,0.0,0.0,0.0,0.0,9.7,6.8
2021-10-05,0,20.4,8.6,18.2,6.0,0.0,0.0,0.0,0.0,10.6,8.6
2021-10-06,3,18.1,7.0,16.0,5.8,0.0,0.0,0.0,0.0,10.8,10.1
2021-10-07,81,11.0,7.4,10.0,6.0,22.0,21.7,0.3,0.0,8.9,9.4
2021-10-08,81,13.7,10.0,12.9,9.0,28.1,22.6,5.5,0.0,8.8,10.8
2021-10-09,51,12.0,9.3,11.5,8.4,1.4,0.8,0.6,0.0,6.4,6.8
2021-10-10,81,13.7,10.9,13.0,10.4,33.8,28.8,5.0,0.0,8.7,8.3
2021-10-11,55,16.6,8.9,16.0,7.0,3.3,1.1,2.2,0.0,12.0,22.0
2021-10-12,81,12.7,7.9,11.6,5.6,12.3,8.7,3.6,0.0,12.5,11.9
2021-10-13,80,15.0,7.3,14.4,5.3,5.9,1.5,4.5,0.0,8.6,9.0
2021-10-14,63,9.8,6.5,8.9,4.6,18.1,17.2,0.9,0.0,8.5,9.7
2021-10-15,80,8.1,6.5,7.3,4.4,29.6,28.7,0.9,0.0,9.4,11.2
2021-10-16,61,11.8,8.0,11.4,7.0,7.6,7.1,0.5,0.0,7.3,4.7
2021-10-17,51,12.2,9.5,11.2,8.8,2.1,0.0,2.1,0.0,7.1,3.6
2021-10-18,53,14.0,9.0,12.9,8.0,2.9,0.0,2.9,0.0,6.5,4.3
2021-10-19,51,14.0,7.7,12.6,6.4,0.3,0.0,0.3,0.0,8.2,5.8
2021-10-20,3,15.0,6.8,13.3,5.5,0.0,0.0,0.0,0.0,9.0,5.8
2021-10-21,1,16.0,7.1,13.7,4.7,0.0,0.0,0.0,0.0,14.7,12.6
2021-10-22,3,17.7,9.7,16.6,7.5,0.0,0.0,0.0,0.0,13.4,11.2
2021-10-23,53,18.8,9.2,17.7,7.0,0.7,0.7,0.0,0.0,12.1,10.1
2021-10-24,81,14.6,8.4,13.9,6.6,11.5,9.2,2.3,0.0,11.4,13.3
2021-10-25,80,8.2,4.5,6.5,2.0,10.5,7.3,3.2,0.0,11.3,21.2
2021-10-26,3,8.6,3.1,5.7,0.4,0.0,0.0,0.0,0.0,9.9,10.4
2021-10-27,3,10.2,2.3,7.6,0.0,0.0,0.0,0.0,0.0,10.7,9.7
2021-10-28,3,8.6,3.1,5.7,0.4,0.0,0.0,0.0,0.0,11.0,13.7
2021-10-29,3,9.0,5.2,6.1,2.6,0.0,0.0,0.0,0.0,10.3,11.5
2021-10-30,51,9.2,4.6,6.5,2.2,0.2,0.0,0.2,0.0,10.7,13.7
2021-10-31,51,9.9,4.7,7.7,2.8,0.7,0.0,0.7,0.0,7.3,6.5
2021-11-01,3,14.0,4.2,12.4,1.9,0.0,0.0,0.0,0.0,7.8,7.9
2021-11-02,63,15.2,8.6,13.5,6.2,9.6,8.9,0.7,0.0,14.4,34.2
2021-11-03,3,17.7,8.8,16.5,6.2,0.0,0.0,0.0,0.0,12.6,11.9
2021-11-04,3,21.0,9.7,19.5,5.7,0.0,0.0,0.0,0.0,12.9,12.2
2021-11-05,3,22.7,12.7,20.5,9.9,0.0,0.0,0.0,0.0,10.0,23.0
2021-11-06,3,22.7,12.8,21.2,11.4,0.0,0.0,0.0,0.0,8.7,6.1
2021-11-07,3,17.5,11.5,16.3,10.2,0.0,0.0,0.0,0.0,8.1,6.1
2021-11-08,3,20.6,11.5,19.4,9.8,0.0,0.0,0.0,0.0,10.9,8.6
2021-11-09,51,18.7,11.3,17.9,10.5,0.1,0.0,0.1,0.0,7.6,8.3
2021-11-10,53,11.3,3.3,10.4,0.6,2.6,1.5,1.1,0.0,12.3,15.5
2021-11-11,3,7.8,1.9,4.2,-0.9,0.0,0.0,0.0,0.0,10.0,9.7
2021-11-12,3,10.9,3.1,7.7,-0.0,0.0,0.0,0.0,0.0,6.9,5.0
2021-11-13,3,13.4,3.9,10.4,0.5,0.0,0.0,0.0,0.0,6.6,5.0
2021-11-14,3,11.3,6.0,9.3,4.4,0.0,0.0,0.0,0.0,7.6,6.1
2021-11-15,53,8.7,7.5,7.2,5.7,5.9,4.8,1.1,0.0,8.2,11.5
2021-11-16,80,7.4,5.4,5.6,3.3,8.6,7.4,1.2,0.0,10.7,18.0
2021-11-17,51,7.3,5.6,5.6,3.7,0.6,0.5,0.1,0.0,6.1,6.8
2021-11-18,53,13.1,5.4,11.9,3.5,3.0,0.1,2.9,0.0,5.1,6.1
2021-11-19,80,8.3,3.7,7.2,1.5,4.4,3.3,1.1,0.0,7.7,6.8
2021-11-20,3,11.1,3.1,8.7,0.4,0.0,0.0,0.0,0.0,8.1,10.1
2021-11-21,0,13.5,4.7,11.6,2.7,0.0,0.0,0.0,0.0,12.6,10.1
2021-11-22,80,12.7,5.7,10.8,2.6,9.3,7.8,1.5,0.0,12.6,12.6
2021-11-23,80,12.4,7.6,11.5,6.3,11.1,7.9,3.2,0.0,8.1,7.2
2021-11-24,81,8.0,4.6,6.5,2.3,18.2,14.7,3.5,0.0,12.9,29.2
2021-11-25,51,5.5,3.5,3.3,1.3,0.1,0.0,0.1,0.0,6.2,5.4
2021-11-26,81,7.2,3.5,4.8,1.1,30.9,29.5,1.4,0.0,23.3,64.1
2021-11-27,81,11.4,4.5,8.7,1.3,23.5,23.2,0.3,0.0,15.5,63.4
2021-11-28,81,11.2,6.1,8.6,3.4,53.8,52.0,1.9,0.0,19.6,81.0
2021-11-29,85,11.2,3.8,8.7,-2.0,27.8,18.1,8.9,1.12,31.7,78.5
2021-11-30,85,4.5,-1.1,-0.8,-5.3,7.5,6.3,0.6,0.42,45.9,65.5
2021-12-01,1,6.1,-1.2,2.0,-5.8,0.0,0.0,0.0,0.0,16.3,14.8
2021-12-02,51,8.4,0.6,4.7,-3.9,0.2,0.0,0.2,0.0,16.2,29.5
2021-12-03,81,11.2,5.7,8.3,3.0,13.9,9.4,4.5,0.0,12.3,40.3
2021-12-04,51,9.7,4.0,8.0,0.9,0.9,0.2,0.7,0.0,9.9,9.0
2021-12-05,3,9.8,3.2,6.5,-0.3,0.0,0.0,0.0,0.0,12.7,25.9
2021-12-06,80,10.1,4.5,6.8,1.8,10.9,10.0,0.9,0.0,16.0,49.7
2021-12-07,80,6.3,3.0,3.3,0.0,8.3,7.0,1.3,0.0,10.3,12.6
2021-12-08,3,5.9,1.6,1.9,-2.6,0.0,0.0,0.0,0.0,15.2,15.8
2021-12-09,61,9.1,1.5,6.4,-2.7,2.4,1.9,0.5,0.0,16.1,29.9
2021-12-10,85,7.1,1.7,4.7,-3.7,41.0,38.3,1.4,0.91,37.7,63.7
2021-12-11,81,6.6,1.5,3.2,-1.8,125.4,124.2,0.1,0.77,16.6,35.6
2021-12-12,80,7.4,2.8,4.3,-0.9,9.6,8.7,0.9,0.0,14.5,32.4
2021-12-13,85,4.2,-1.1,1.1,-4.3,3.5,1.2,1.9,0.63,12.5,12.6
2021-12-14,71,3.1,-1.3,-0.7,-4.8,0.2,0.1,0.0,0.07,10.7,14.4
2021-12-15,71,4.7,-0.8,1.8,-4.4,0.9,0.3,0.0,0.42,8.6,13.3
2021-12-16,3,3.8,-0.5,0.6,-3.7,0.0,0.0,0.0,0.0,7.0,5.8
2021-12-17,75,5.8,-1.0,2.4,-4.3,4.7,1.8,0.0,2.03,8.1,19.1
2021-12-18,85,0.1,-2.9,-3.9,-7.4,5.0,1.1,1.2,2.24,15.8,32.0
2021-12-19,51,0.7,-4.4,-3.4,-8.4,0.1,0.0,0.1,0.0,12.8,27.4
2021-12-20,3,7.2,-1.7,3.5,-6.8,0.0,0.0,0.0,0.0,14.2,10.1
2021-12-21,45,1.7,-0.7,-0.7,-3.6,0.0,0.0,0.0,0.0,8.0,4.7
2021-12-22,71,2.3,-0.5,-0.9,-3.2,1.0,0.2,0.0,0.56,7.5,5.0
2021-12-23,45,1.1,-1.7,-2.0,-4.9,0.0,0.0,0.0,0.0,8.3,6.5
2021-12-24,3,5.8,-1.3,1.8,-5.7,0.0,0.0,0.0,0.0,13.2,15.1
2021-12-25,3,7.5,1.7,3.5,-2.0,0.0,0.0,0.0,0.0,14.7,18.4
2021-12-26,51,9.3,4.6,6.2,1.5,0.6,0.6,0.0,0.0,15.5,36.0
2021-12-27,80,8.9,5.4,5.8,2.4,4.9,4.5,0.4,0.0,13.6,35.3
2021-12-28,51,9.0,6.4,7.5,4.1,1.9,0.9,1.0,0.0,8.0,7.9
2021-12-29,51,10.0,4.2,7.9,1.6,0.3,0.2,0.1,0.0,9.1,10.4
2021-12-30,53,5.8,3.1,2.2,-0.6,1.3,1.0,0.3,0.0,13.6,27.4
2021-12-31,3,8.3,2.3,5.5,-0.6,0.0,0.0,0.0,0.0,11.3,21.2
2022-01-01,3,13.8,4.9,11.4,1.8,0.0,0.0,0.0,0.0,8.0,7.9
2022-01-02,3,10.9,4.8,8.4,1.8,0.0,0.0,0.0,0.0,11.2,7.6
2022-01-03,3,10.9,3.6,7.5,-0.2,0.0,0.0,0.0,0.0,15.7,14.4
2022-01-04,3,10.1,3.1,7.4,-0.6,0.0,0.0,0.0,0.0,16.6,14.8
2022-01-05,3,10.2,3.5,6.7,-0.9,0.0,0.0,0.0,0.0,18.7,18.7
2022-01-06,3,10.8,4.5,7.4,1.1,0.0,0.0,0.0,0.0,15.5,20.9
2022-01-07,51,8.8,4.1,6.4,1.4,2.0,0.2,1.8,0.0,10.8,8.6
2022-01-08,80,6.7,4.7,4.6,2.9,6.9,4.2,2.7,0.0,6.3,6.1
2022-01-09,51,7.5,2.8,5.4,0.1,0.3,0.1,0.2,0.0,7.6,5.0
2022-01-10,61,6.4,2.8,3.9,-1.1,4.4,2.9,1.5,0.0,15.1,28.1
2022-01-11,86,2.3,-1.6,-1.9,-5.4,105.4,62.0,0.3,30.17,25.6,61.2
2022-01-12,85,-1.1,-4.3,-4.7,-8.1,11.7,2.7,1.2,5.67,13.3,27.4
2022-01-13,85,-2.0,-6.6,-6.2,-10.3,2.8,0.7,0.3,1.47,12.3,11.9
2022-01-14,0,6.5,-4.3,3.1,-8.1,0.0,0.0,0.0,0.0,10.3,6.1
2022-01-15,0,6.4,-2.9,3.2,-6.0,0.0,0.0,0.0,0.0,11.0,7.9
2022-01-16,1,3.9,-4.6,0.8,-8.1,0.0,0.0,0.0,0.0,12.6,7.9
2022-01-17,45,6.6,-2.4,3.3,-7.1,0.0,0.0,0.0,0.0,13.6,12.2
2022-01-18,3,3.6,-4.7,-0.4,-9.1,0.0,0.0,0.0,0.0,10.6,14.8
2022-01-19,0,3.3,-3.4,-0.8,-7.0,0.0,0.0,0.0,0.0,11.6,8.6
2022-01-20,45,6.4,-1.9,1.8,-6.8,0.0,0.0,0.0,0.0,14.8,16.9
2022-01-21,71,6.5,0.5,3.0,-2.9,8.9,8.2,0.4,0.21,14.5,27.7
2022-01-22,73,-0.5,-7.8,-4.0,-12.6,6.9,2.0,0.0,3.43,11.8,16.6
2022-01-23,3,-0.1,-5.5,-4.1,-10.8,0.0,0.0,0.0,0.0,17.5,38.2
2022-01-24,85,-4.5,-7.4,-9.9,-12.7,3.2,0.2,1.6,1.26,24.6,32.4
2022-01-25,3,-2.2,-9.3,-7.3,-14.2,0.0,0.0,0.0,0.0,13.4,24.8
2022-01-26,0,2.5,-7.2,-2.0,-11.6,0.0,0.0,0.0,0.0,8.7,7.2
2022-01-27,0,4.0,-4.2,-0.1,-7.7,0.0,0.0,0.0,0.0,8.4,4.7
2022-01-28,3,7.5,-2.4,3.3,-6.9,0.0,0.0,0.0,0.0,13.0,10.8
2022-01-29,85,0.1,-3.7,-3.0,-7.2,14.3,3.9,0.3,7.07,11.0,15.8
2022-01-30,3,6.3,-5.4,3.5,-8.9,0.0,0.0,0.0,0.0,13.1,9.4
2022-01-31,3,8.8,-2.0,5.9,-5.8,0.0,0.0,0.0,0.0,11.9,10.8
2022-02-01,71,3.5,1.4,1.1,-1.2,12.6,10.2,2.0,0.28,6.9,13.7
2022-02-02,73,1.2,-3.9,-1.5,-7.1,11.3,4.1,0.0,5.04,9.4,14.8
2022-02-03,51,1.8,-4.3,-2.9,-8.4,0.1,0.0,0.1,0.0,15.6,31.3
2022-02-04,3,7.8,-3.2,4.6,-7.3,0.0,0.0,0.0,0.0,13.7,10.1
2022-02-05,3,9.6,-1.3,7.5,-6.5,0.0,0.0,0.0,0.0,15.3,10.8
2022-02-06,3,8.9,2.4,6.5,-0.5,0.0,0.0,0.0,0.0,12.1,9.7
2022-02-07,63,8.3,3.0,4.6,-0.5,7.9,7.4,0.5,0.0,17.6,58.0
2022-02-08,85,4.2,-5.7,0.7,-9.8,9.4,3.8,0.7,3.5,20.1,52.2
2022-02-09,0,7.4,-3.2,3.5,-7.3,0.0,0.0,0.0,0.0,12.4,26.6
2022-02-10,0,9.6,-0.0,6.7,-2.9,0.0,0.0,0.0,0.0,7.4,5.4
2022-02-11,3,14.4,2.4,12.5,-1.6,0.0,0.0,0.0,0.0,12.3,9.0
2022-02-12,51,8.7,2.6,5.8,-1.1,0.6,0.5,0.1,0.0,10.9,7.6
2022-02-13,73,4.0,1.4,1.6,-1.0,8.1,7.2,0.1,0.56,10.4,18.7
2022-02-14,51,8.2,-0.2,6.2,-3.3,0.3,0.0,0.3,0.0,9.1,8.6
