date,weather_code,temperature_2m_max,temperature_2m_min,apparent_temperature_max,apparent_temperature_min,precipitation_sum,rain_sum,showers_sum,snowfall_sum,wind_speed_10m_max,wind_gusts_10m_max
2021-10-01,71,1.8,-2.2,-3.9,-11.8,5.7,3.7,0.0,1.4,48.9,71.3
2021-10-02,71,0.5,-2.1,-5.1,-8.3,2.9,1.8,0.0,0.77,34.2,58.0
2021-10-03,73,1.4,-2.2,-4.7,-8.5,4.5,2.3,0.1,1.47,37.6,58.3
2021-10-04,71,-0.2,-6.9,-6.0,-11.4,1.4,0.5,0.0,0.63,28.2,50.0
2021-10-05,71,-2.3,-7.5,-6.6,-11.7,0.8,0.1,0.0,0.49,19.4,29.9
2021-10-06,45,-5.5,-9.8,-9.8,-15.1,0.0,0.0,0.0,0.0,23.1,37.8
2021-10-07,75,-0.2,-5.3,-8.2,-12.3,7.7,2.4,0.0,3.71,54.8,80.6
2021-10-08,73,2.1,-0.8,-1.5,-7.9,5.9,3.3,0.0,1.82,33.6,57.6
2021-10-09,75,1.2,-2.8,-1.8,-7.2,3.1,0.9,0.0,1.54,17.2,31.3
2021-10-10,71,-1.1,-5.5,-5.1,-11.0,2.1,0.8,0.0,0.91,18.9,35.6
2021-10-11,3,-4.2,-11.6,-9.4,-15.7,0.0,0.0,0.0,0.0,16.6,32.0
2021-10-12,61,2.1,-10.0,-1.7,-14.5,7.5,7.5,0.0,0.0,19.5,46.1
2021-10-13,73,2.5,-5.6,-1.9,-12.1,5.5,3.2,0.0,1.61,33.3,64.8
2021-10-14,45,-6.7,-10.4,-11.4,-15.8,0.0,0.0,0.0,0.0,29.2,54.0
2021-10-15,51,-0.6,-8.5,-4.9,-15.2,0.1,0.1,0.0,0.0,23.7,46.1
2021-10-16,73,-5.9,-8.5,-11.1,-14.0,3.3,0.9,0.0,1.68,26.1,35.3
2021-10-17,75,-5.2,-8.0,-14.1,-15.7,19.9,6.1,0.0,9.66,52.5,68.4
2021-10-18,75,0.1,-5.6,-5.8,-15.6,16.3,5.1,0.0,7.84,50.7,67.7
2021-10-19,73,-0.3,-8.1,-9.9,-17.4,6.9,2.0,0.0,3.43,62.1,82.4
2021-10-20,71,-8.5,-16.0,-16.1,-21.0,0.2,0.1,0.0,0.07,33.4,59.8
2021-10-21,73,-2.2,-17.9,-6.7,-22.2,1.7,0.6,0.0,0.77,22.1,40.3
2021-10-22,75,-0.3,-18.1,-4.2,-22.2,11.1,4.8,0.0,4.41,22.5,40.0
2021-10-23,73,1.3,-3.2,-1.3,-7.1,1.5,1.2,0.0,0.21,11.2,18.7
2021-10-24,71,-0.6,-6.7,-5.2,-10.3,1.1,0.3,0.0,0.56,34.2,49.0
2021-10-25,71,-1.8,-13.1,-7.7,-17.5,0.4,0.2,0.0,0.14,34.4,45.7
2021-10-26,73,-1.4,-10.2,-9.0,-14.2,4.4,1.2,0.0,2.24,52.7,76.7
2021-10-27,73,-1.1,-4.7,-4.1,-10.0,17.1,5.1,0.0,8.4,45.0,64.4
2021-10-28,73,-0.3,-12.2,-7.6,-16.7,1.6,0.6,0.0,0.7,42.7,60.1
2021-10-29,71,0.1,-0.9,-5.5,-7.8,0.5,0.1,0.0,0.28,35.8,47.2
2021-10-30,73,0.0,-1.7,-4.1,-7.0,3.5,1.1,0.0,1.68,25.0,40.3
2021-10-31,71,-2.1,-8.2,-6.5,-13.1,0.8,0.1,0.0,0.49,17.9,34.9
2021-11-01,71,-5.9,-10.9,-11.6,-15.9,0.2,0.0,0.0,0.14,18.9,40.3
2021-11-02,51,-9.5,-16.3,-15.1,-21.1,0.2,0.2,0.0,0.0,18.8,40.0
2021-11-03,71,-1.4,-17.8,-7.9,-22.2,0.6,0.3,0.0,0.21,41.4,81.7
2021-11-04,45,-2.7,-6.8,-8.0,-11.9,0.0,0.0,0.0,0.0,25.0,44.6
2021-11-05,71,-1.3,-12.0,-7.0,-16.2,0.5,0.3,0.0,0.14,22.2,40.0
2021-11-06,75,-4.2,-12.7,-9.9,-17.2,16.5,5.0,0.0,8.05,39.4,56.9
2021-11-07,73,-5.2,-12.2,-9.7,-17.1,3.1,0.9,0.0,1.54,29.2,45.0
2021-11-08,75,0.6,-7.2,-4.1,-15.3,9.6,3.2,0.1,4.41,35.8,52.2
2021-11-09,75,-1.7,-7.5,-5.3,-11.1,6.2,2.2,0.0,2.8,24.6,27.0
2021-11-10,73,-3.7,-13.1,-6.7,-17.9,4.0,1.1,0.0,2.03,28.5,48.2
2021-11-11,3,-12.8,-15.7,-17.3,-19.9,0.0,0.0,0.0,0.0,7.1,9.4
2021-11-12,3,-9.9,-14.8,-14.7,-18.8,0.0,0.0,0.0,0.0,9.0,7.9
2021-11-13,55,4.4,-16.0,-3.2,-20.5,2.3,2.3,0.0,0.0,45.7,86.0
2021-11-14,85,3.4,-4.1,-4.5,-12.9,8.6,6.3,0.1,1.54,58.1,94.3
2021-11-15,85,0.6,-4.4,-5.8,-14.0,7.1,1.1,1.1,3.57,52.7,83.9
2021-11-16,71,-4.5,-10.0,-9.9,-14.6,1.6,0.7,0.0,0.63,38.8,64.4
2021-11-17,71,-6.8,-18.2,-15.2,-22.6,0.2,0.1,0.0,0.07,36.2,58.0
2021-11-18,73,-4.3,-13.6,-7.3,-17.3,5.1,1.9,0.0,2.24,9.4,15.8
2021-11-19,71,-2.1,-7.5,-7.6,-11.8,0.6,0.3,0.0,0.21,24.3,43.2
2021-11-20,73,-3.9,-12.5,-7.4,-17.6,6.1,1.7,0.0,3.08,17.7,24.8
2021-11-21,73,0.9,-11.6,-6.0,-17.2,2.7,1.4,0.0,0.91,37.2,72.0
2021-11-22,73,1.5,-4.5,-6.1,-10.2,13.2,9.9,0.0,2.31,50.9,86.8
2021-11-23,73,-2.4,-11.6,-9.8,-16.2,1.1,0.3,0.0,0.56,34.8,55.4
2021-11-24,73,-4.8,-14.0,-13.2,-18.8,3.8,1.5,0.0,1.61,53.3,78.1
2021-11-25,85,-2.9,-14.3,-8.4,-20.0,7.0,2.1,0.1,3.36,34.0,61.9
2021-11-26,71,-14.1,-21.4,-18.7,-26.3,0.7,0.1,0.0,0.42,10.5,23.0
2021-11-27,71,-5.9,-18.1,-10.6,-23.5,0.7,0.3,0.0,0.28,18.4,32.0
2021-11-28,73,-4.5,-10.9,-9.9,-15.4,12.7,4.0,0.0,6.09,34.5,60.8
2021-11-29,73,-2.9,-10.3,-7.1,-17.4,8.4,2.4,0.0,4.2,31.1,48.6
2021-11-30,73,-8.6,-16.1,-12.8,-21.4,1.0,0.3,0.0,0.49,22.3,46.4
2021-12-01,71,-8.2,-20.4,-15.4,-24.8,0.1,0.0,0.0,0.07,27.9,54.0
2021-12-02,73,-2.6,-7.5,-9.3,-15.1,4.4,1.5,0.0,2.03,39.8,59.8
2021-12-03,73,-4.9,-18.4,-11.7,-22.7,1.4,0.6,0.0,0.56,27.9,48.6
2021-12-04,45,-15.7,-17.7,-20.0,-22.0,0.0,0.0,0.0,0.0,5.1,5.4
2021-12-05,73,-2.5,-19.0,-6.1,-23.5,1.1,0.8,0.0,0.21,39.5,38.9
2021-12-06,73,-0.9,-11.1,-5.5,-14.9,4.5,1.6,0.0,2.03,24.8,37.8
2021-12-07,73,-5.5,-18.0,-9.7,-22.4,2.3,0.8,0.0,1.05,27.1,54.0
2021-12-08,2,-18.0,-21.3,-22.3,-25.5,0.0,0.0,0.0,0.0,4.6,5.0
