date,weather_code,temperature_2m_max,temperature_2m_min,apparent_temperature_max,apparent_temperature_min,precipitation_sum,rain_sum,showers_sum,snowfall_sum,wind_speed_10m_max,wind_gusts_10m_max
2021-10-01,51,11.7,7.2,7.7,2.9,2.3,0.0,2.3,0.0,32.3,55.1
2021-10-02,53,11.4,4.9,7.3,1.8,1.5,0.7,0.8,0.0,21.6,46.8
2021-10-03,53,12.8,6.7,8.8,2.2,2.7,0.6,2.1,0.0,32.5,60.1
2021-10-04,81,13.2,5.3,10.1,2.5,8.7,7.5,1.2,0.0,18.0,36.7
2021-10-05,51,12.6,6.0,8.5,2.7,1.2,0.1,1.1,0.0,25.5,50.8
2021-10-06,51,15.2,5.9,14.1,3.7,0.2,0.2,0.0,0.0,19.6,45.4
2021-10-07,51,17.2,14.9,15.6,14.1,1.3,1.0,0.3,0.0,24.1,52.2
2021-10-08,81,16.0,13.4,14.3,11.4,7.0,5.3,1.7,0.0,21.9,46.8
2021-10-09,61,17.1,9.0,15.9,7.8,3.6,3.5,0.1,0.0,22.5,51.1
2021-10-10,3,14.0,6.7,12.0,5.2,0.0,0.0,0.0,0.0,10.3,14.0
2021-10-11,3,14.6,6.4,13.3,4.9,0.0,0.0,0.0,0.0,8.7,11.9
2021-10-12,3,14.6,6.3,13.5,4.8,0.0,0.0,0.0,0.0,8.2,11.2
2021-10-13,3,15.3,7.1,14.3,5.5,0.0,0.0,0.0,0.0,7.3,12.6
2021-10-14,3,13.3,6.5,11.3,4.6,0.0,0.0,0.0,0.0,14.1,33.1
2021-10-15,51,13.2,9.4,12.0,8.0,0.1,0.1,0.0,0.0,9.5,17.6
2021-10-16,51,14.4,7.9,11.2,6.0,0.5,0.5,0.0,0.0,23.1,47.2
2021-10-17,51,16.6,12.5,15.2,11.4,0.2,0.2,0.0,0.0,17.4,43.2
2021-10-18,55,18.4,13.1,18.0,9.6,2.9,2.7,0.2,0.0,28.3,61.6
2021-10-19,61,17.5,8.0,15.5,6.0,5.5,4.7,0.8,0.0,26.8,52.2
2021-10-20,61,11.5,6.1,8.5,3.0,4.1,3.9,0.2,0.0,30.9,47.2
2021-10-21,51,10.0,3.7,6.1,-0.4,0.7,0.4,0.3,0.0,25.4,46.1
2021-10-22,51,11.6,5.8,8.8,3.0,1.0,0.0,1.0,0.0,18.1,42.5
2021-10-23,63,13.0,6.2,8.4,3.2,11.8,11.8,0.0,0.0,33.8,63.7
2021-10-24,51,13.7,8.0,10.6,4.6,1.2,0.0,1.2,0.0,24.3,48.6
2021-10-25,51,11.3,6.5,7.8,3.6,0.8,0.0,0.8,0.0,18.6,43.9
2021-10-26,51,16.4,9.7,13.1,6.7,0.6,0.6,0.0,0.0,29.5,66.6
2021-10-27,81,15.5,12.6,14.2,11.6,19.8,14.3,5.5,0.0,28.9,63.7
2021-10-28,55,14.6,9.7,12.8,8.4,4.7,0.5,4.2,0.0,16.5,30.2
2021-10-29,81,11.1,6.4,8.3,4.0,6.4,5.5,0.9,0.0,15.5,34.2
2021-10-30,51,10.0,4.1,6.4,1.2,0.8,0.2,0.6,0.0,29.0,57.6
2021-10-31,81,9.7,4.5,6.6,0.1,15.2,13.2,2.0,0.0,41.0,77.4
2021-11-01,53,9.6,4.0,5.7,1.2,4.5,0.0,4.5,0.0,29.5,55.1
2021-11-02,51,8.7,2.8,5.6,-0.0,0.4,0.0,0.4,0.0,16.4,37.4
2021-11-03,53,9.0,3.5,5.1,0.1,1.6,0.0,1.7,0.0,21.5,47.2
2021-11-04,51,8.3,2.1,5.4,-1.0,0.1,0.0,0.1,0.0,17.2,41.4
2021-11-05,3,11.4,5.6,9.0,3.3,0.0,0.0,0.0,0.0,13.7,31.0
2021-11-06,53,12.8,5.6,8.5,2.9,1.1,1.0,0.1,0.0,32.8,64.8
2021-11-07,3,10.9,7.1,8.5,4.0,0.0,0.0,0.0,0.0,22.3,39.2
2021-11-08,61,15.2,9.1,13.4,7.2,6.3,6.3,0.0,0.0,21.5,43.9
2021-11-09,51,12.7,8.2,11.2,6.3,1.1,1.0,0.1,0.0,15.3,43.6
2021-11-10,3,11.0,6.2,9.8,4.5,0.0,0.0,0.0,0.0,7.9,10.4
2021-11-11,53,12.8,5.6,8.6,2.9,1.5,1.3,0.2,0.0,34.0,69.1
2021-11-12,51,12.4,9.1,8.1,4.5,1.5,0.3,1.2,0.0,33.5,62.6
2021-11-13,51,13.7,8.1,13.6,6.3,0.1,0.1,0.0,0.0,16.3,37.1
2021-11-14,53,15.1,10.4,14.4,9.4,0.7,0.7,0.0,0.0,9.8,20.9
2021-11-15,53,12.0,6.0,10.5,3.6,2.3,1.9,0.4,0.0,17.5,31.3
2021-11-16,51,10.9,5.0,7.7,2.1,0.8,0.4,0.4,0.0,21.3,49.0
2021-11-17,3,10.1,4.9,6.9,2.0,0.0,0.0,0.0,0.0,18.4,46.4
2021-11-18,3,13.6,8.9,11.4,6.7,0.0,0.0,0.0,0.0,18.1,44.3
2021-11-19,3,11.7,6.3,9.7,3.7,0.0,0.0,0.0,0.0,12.0,33.8
2021-11-20,53,10.8,3.5,8.0,0.7,1.0,0.8,0.2,0.0,19.5,37.1
2021-11-21,1,6.9,1.1,2.5,-1.9,0.0,0.0,0.0,0.0,19.5,41.8
2021-11-22,0,6.2,0.0,3.5,-3.0,0.0,0.0,0.0,0.0,9.1,12.2
2021-11-23,1,6.1,0.2,4.1,-2.2,0.0,0.0,0.0,0.0,6.9,5.0
2021-11-24,53,7.0,0.4,3.9,-2.9,1.7,1.1,0.6,0.0,20.5,41.4
2021-11-25,51,6.9,-0.3,2.1,-3.8,0.3,0.0,0.3,0.0,25.0,53.3
2021-11-26,53,8.1,2.4,2.8,-5.0,2.9,1.1,1.8,0.0,35.2,71.3
2021-11-27,3,4.4,0.7,-1.6,-5.1,0.0,0.0,0.0,0.0,37.5,76.0
2021-11-28,53,6.3,1.6,3.9,-2.1,4.4,4.3,0.1,0.0,11.8,39.6
2021-11-29,51,8.7,4.3,6.1,2.2,0.4,0.4,0.0,0.0,17.7,43.2
2021-11-30,81,10.8,7.6,7.3,2.4,7.9,7.0,0.9,0.0,33.3,61.2
2021-12-01,51,7.4,3.0,1.9,-2.2,0.4,0.0,0.4,0.0,35.0,61.6
2021-12-02,61,9.4,2.4,6.6,-1.9,5.3,5.3,0.0,0.0,23.7,53.3
2021-12-03,51,10.5,4.6,7.5,0.4,1.4,0.8,0.6,0.0,28.2,52.2
2021-12-04,51,5.8,3.0,0.1,-2.6,1.3,0.1,1.2,0.0,29.0,58.0
2021-12-05,51,5.9,1.4,3.1,-2.5,0.3,0.3,0.0,0.0,22.9,55.8
