date,weather_code,temperature_2m_max,temperature_2m_min,apparent_temperature_max,apparent_temperature_min,precipitation_sum,rain_sum,showers_sum,snowfall_sum,wind_speed_10m_max,wind_gusts_10m_max
2021-10-01,51,13.0,6.7,10.8,4.5,0.8,0.8,0.0,0.0,11.8,32.8
2021-10-02,3,14.5,5.7,10.3,3.1,0.0,0.0,0.0,0.0,20.3,41.8
2021-10-03,3,15.8,7.2,12.2,3.8,0.0,0.0,0.0,0.0,19.5,50.0
2021-10-04,3,16.2,7.8,12.3,3.9,0.0,0.0,0.0,0.0,20.3,51.1
2021-10-05,3,15.3,9.2,10.5,5.0,0.0,0.0,0.0,0.0,24.6,59.8
2021-10-06,3,15.8,9.4,10.7,4.1,0.0,0.0,0.0,0.0,27.1,62.3
2021-10-07,3,13.1,3.8,9.0,0.5,0.0,0.0,0.0,0.0,18.7,47.9
2021-10-08,2,12.6,2.2,8.4,-1.3,0.0,0.0,0.0,0.0,11.4,18.7
2021-10-09,3,12.4,3.0,8.9,-0.3,0.0,0.0,0.0,0.0,9.2,17.3
2021-10-10,3,13.2,3.4,9.0,0.1,0.0,0.0,0.0,0.0,13.4,31.7
2021-10-11,3,10.5,2.2,5.8,-1.5,0.0,0.0,0.0,0.0,19.0,43.2
2021-10-12,51,10.6,3.6,7.3,-0.5,0.2,0.0,0.2,0.0,14.6,39.2
2021-10-13,3,10.8,2.9,7.6,0.3,0.0,0.0,0.0,0.0,10.7,22.7
2021-10-14,51,10.2,3.8,6.5,0.8,0.1,0.0,0.1,0.0,14.5,41.0
2021-10-15,81,11.1,5.6,7.0,1.7,8.6,8.3,0.3,0.0,25.0,55.8
2021-10-16,51,10.6,4.3,6.3,0.5,0.3,0.0,0.3,0.0,20.6,47.5
2021-10-17,55,8.4,3.4,5.6,0.2,5.6,4.5,1.1,0.0,17.9,42.8
2021-10-18,53,8.7,2.6,3.9,-1.1,3.4,0.0,3.4,0.0,20.4,39.2
2021-10-19,3,7.7,1.3,4.9,-1.1,0.0,0.0,0.0,0.0,18.5,45.0
2021-10-20,61,14.8,5.7,10.7,1.1,8.3,8.3,0.0,0.0,29.5,74.2
2021-10-21,81,14.6,7.9,12.0,2.5,7.6,5.6,2.0,0.0,32.8,67.3
2021-10-22,80,8.9,4.2,3.6,0.7,10.0,8.0,2.0,0.0,26.5,60.5
2021-10-23,51,7.3,3.0,2.6,-1.0,1.3,0.1,1.2,0.0,20.9,48.2
2021-10-24,3,6.6,1.5,3.5,-1.6,0.0,0.0,0.0,0.0,13.0,41.4
2021-10-25,3,8.7,2.5,4.2,-1.2,0.0,0.0,0.0,0.0,17.7,49.0
2021-10-26,61,8.6,2.5,5.7,-1.0,2.5,2.5,0.0,0.0,15.9,43.2
2021-10-27,63,12.1,6.0,9.3,3.1,11.9,11.7,0.2,0.0,23.7,59.8
2021-10-28,51,12.1,9.0,10.9,6.6,0.5,0.1,0.4,0.0,17.9,42.1
2021-10-29,3,12.2,7.5,9.4,5.1,0.0,0.0,0.0,0.0,15.5,47.9
2021-10-30,3,12.8,6.1,9.6,3.4,0.0,0.0,0.0,0.0,15.9,47.5
2021-10-31,3,11.8,6.7,8.1,3.7,0.0,0.0,0.0,0.0,18.6,54.4
2021-11-01,3,10.7,5.3,6.2,1.1,0.0,0.0,0.0,0.0,19.0,50.0
2021-11-02,3,9.7,4.3,5.9,0.4,0.0,0.0,0.0,0.0,18.9,47.5
2021-11-03,53,7.7,6.0,5.7,2.8,6.5,6.3,0.2,0.0,15.0,41.8
2021-11-04,61,9.0,4.7,6.2,1.8,6.1,6.1,0.0,0.0,20.4,49.7
2021-11-05,53,10.3,6.2,7.1,2.2,5.5,4.8,0.7,0.0,22.0,52.2
2021-11-06,51,8.6,4.7,4.6,1.3,1.8,0.2,1.6,0.0,21.6,49.7
2021-11-07,61,8.1,4.4,4.6,1.5,13.2,13.0,0.2,0.0,21.7,48.2
2021-11-08,85,7.5,-0.6,3.7,-4.4,2.2,1.8,0.4,0.07,26.1,47.9
2021-11-09,73,2.4,-1.5,-1.7,-5.0,0.5,0.2,0.0,0.21,20.3,52.2
2021-11-10,73,5.8,-0.0,2.1,-5.1,5.2,3.9,0.0,0.91,21.4,54.4
2021-11-11,51,8.4,5.7,6.0,2.4,1.0,0.6,0.4,0.0,21.0,45.7
2021-11-12,51,7.7,2.7,3.7,-0.1,0.2,0.0,0.2,0.0,20.2,44.6
2021-11-13,3,5.1,2.4,2.3,-0.3,0.0,0.0,0.0,0.0,10.3,29.5
2021-11-14,3,5.7,-0.2,2.6,-3.3,0.0,0.0,0.0,0.0,8.9,23.4
2021-11-15,3,2.8,-1.0,-1.1,-4.8,0.0,0.0,0.0,0.0,10.0,32.4
2021-11-16,3,2.4,-1.3,-1.1,-4.9,0.0,0.0,0.0,0.0,10.5,32.8
2021-11-17,51,3.4,0.3,-0.0,-3.0,0.2,0.2,0.0,0.0,14.8,38.5
2021-11-18,53,6.5,2.5,2.4,-0.9,2.0,2.0,0.0,0.0,20.0,39.2
2021-11-19,3,10.3,2.3,6.1,-0.7,0.0,0.0,0.0,0.0,25.5,57.6
2021-11-20,51,9.0,4.2,3.2,-0.6,0.5,0.1,0.5,0.0,30.0,60.1
2021-11-21,53,5.4,-0.7,2.6,-4.8,2.6,1.8,0.8,0.0,13.1,35.3
2021-11-22,3,0.8,-2.5,-3.2,-6.5,0.0,0.0,0.0,0.0,13.7,38.5
