date,weather_code,temperature_2m_max,temperature_2m_min,apparent_temperature_max,apparent_temperature_min,precipitation_sum,rain_sum,showers_sum,snowfall_sum,wind_speed_10m_max,wind_gusts_10m_max
2021-10-01,51,13.0,7.2,11.0,4.9,0.6,0.6,0.0,0.0,18.4,28.4
2021-10-02,3,11.8,5.9,7.2,2.7,0.0,0.0,0.0,0.0,27.4,46.1
2021-10-03,3,15.4,9.1,11.1,5.0,0.0,0.0,0.0,0.0,27.9,51.1
2021-10-04,3,15.5,7.9,11.1,3.8,0.0,0.0,0.0,0.0,26.6,50.0
2021-10-05,3,15.6,8.9,9.5,4.0,0.0,0.0,0.0,0.0,34.3,69.1
2021-10-06,3,15.8,9.1,9.9,3.1,0.0,0.0,0.0,0.0,34.7,68.0
2021-10-07,3,12.7,3.7,7.8,-0.3,0.0,0.0,0.0,0.0,24.1,50.8
2021-10-08,0,12.5,2.3,8.5,-1.8,0.0,0.0,0.0,0.0,13.2,19.1
2021-10-09,3,12.0,3.0,9.3,0.1,0.0,0.0,0.0,0.0,7.2,6.5
2021-10-10,3,12.3,2.7,8.7,-0.7,0.0,0.0,0.0,0.0,12.7,27.0
2021-10-11,3,11.1,1.6,6.0,-2.4,0.0,0.0,0.0,0.0,22.2,35.6
2021-10-12,51,10.5,2.5,6.6,-1.1,0.3,0.0,0.3,0.0,18.1,31.7
2021-10-13,3,9.0,3.0,6.1,-0.2,0.0,0.0,0.0,0.0,12.8,28.4
2021-10-14,51,10.1,3.0,5.8,-0.1,0.2,0.1,0.1,0.0,20.5,38.2
2021-10-15,53,12.7,7.2,7.5,3.3,1.9,1.6,0.3,0.0,33.6,56.2
2021-10-16,51,11.7,4.1,6.4,0.4,0.3,0.0,0.3,0.0,29.2,47.2
2021-10-17,51,11.3,6.5,6.0,1.7,2.0,0.0,2.1,0.0,30.5,49.0
2021-10-18,51,9.9,2.2,4.8,-1.8,0.3,0.0,0.3,0.0,20.7,37.1
2021-10-19,3,8.3,2.1,4.6,-2.0,0.0,0.0,0.0,0.0,23.1,46.1
2021-10-20,53,15.5,7.1,10.5,2.5,1.8,1.8,0.0,0.0,35.4,71.3
2021-10-21,53,15.7,8.5,11.4,2.0,1.8,0.9,0.9,0.0,48.3,78.1
2021-10-22,53,9.1,4.8,2.3,-0.9,3.7,2.2,1.5,0.0,41.1,68.0
2021-10-23,51,9.5,3.4,4.7,-1.9,1.1,0.0,1.1,0.0,23.0,49.7
2021-10-24,3,7.1,1.3,3.4,-2.5,0.0,0.0,0.0,0.0,19.3,38.5
2021-10-25,3,9.4,1.3,4.0,-2.7,0.0,0.0,0.0,0.0,25.7,50.4
2021-10-26,53,9.1,2.9,4.8,-1.0,2.9,2.8,0.1,0.0,22.5,46.1
2021-10-27,51,11.7,6.8,8.0,3.1,0.3,0.2,0.1,0.0,34.0,63.4
2021-10-28,51,13.8,8.6,11.2,6.2,0.2,0.2,0.0,0.0,25.2,47.5
2021-10-29,3,13.6,6.8,9.8,3.8,0.0,0.0,0.0,0.0,20.8,49.3
2021-10-30,3,13.5,6.7,9.4,3.3,0.0,0.0,0.0,0.0,22.8,49.7
2021-10-31,3,13.4,7.2,9.4,2.8,0.0,0.0,0.0,0.0,23.7,51.5
2021-11-01,3,11.4,5.1,6.1,0.5,0.0,0.0,0.0,0.0,25.4,54.7
2021-11-02,3,10.7,4.1,6.0,-0.1,0.0,0.0,0.0,0.0,25.5,52.9
2021-11-03,61,7.3,5.1,5.3,1.9,12.4,12.2,0.2,0.0,18.7,39.2
2021-11-04,61,10.6,3.9,6.2,0.8,6.7,6.7,0.0,0.0,29.8,56.2
2021-11-05,51,11.0,6.6,5.8,0.9,0.6,0.6,0.0,0.0,39.3,67.7
2021-11-06,61,9.5,6.4,5.5,1.5,4.6,2.7,1.9,0.0,34.5,63.4
2021-11-07,53,8.3,6.1,3.3,0.5,2.8,2.6,0.2,0.0,33.3,53.6
2021-11-08,80,7.5,0.4,1.7,-4.0,2.1,1.9,0.2,0.0,32.9,55.4
2021-11-09,3,2.9,-0.7,-0.6,-5.0,0.0,0.0,0.0,0.0,21.7,47.5
2021-11-10,51,6.8,1.6,2.0,-4.3,0.6,0.6,0.0,0.0,24.9,51.8
2021-11-11,51,8.4,4.0,4.0,0.5,0.1,0.1,0.0,0.0,25.9,55.1
2021-11-12,51,8.5,3.5,4.7,0.9,0.1,0.0,0.1,0.0,26.0,48.6
2021-11-13,3,5.7,2.1,2.1,-1.3,0.0,0.0,0.0,0.0,15.9,35.3
2021-11-14,3,5.4,0.3,1.4,-3.4,0.0,0.0,0.0,0.0,15.1,33.5
2021-11-15,3,3.6,-0.9,-0.5,-4.7,0.0,0.0,0.0,0.0,12.2,29.2
2021-11-16,3,4.7,-0.8,1.2,-4.8,0.0,0.0,0.0,0.0,12.9,32.0
