date,weather_code,temperature_2m_max,temperature_2m_min,apparent_temperature_max,apparent_temperature_min,precipitation_sum,rain_sum,showers_sum,snowfall_sum,wind_speed_10m_max,wind_gusts_10m_max
2021-10-01,81,26.7,21.5,27.2,22.8,17.1,0.0,17.1,0.0,17.9,20.5
2021-10-02,81,25.4,20.2,25.5,21.5,12.7,0.1,12.6,0.0,15.5,19.1
2021-10-03,51,25.9,20.4,27.8,21.6,0.1,0.0,0.1,0.0,13.0,18.0
2021-10-04,3,26.6,21.3,28.1,22.5,0.0,0.0,0.0,0.0,15.5,22.7
2021-10-05,3,27.2,21.9,28.5,22.5,0.0,0.0,0.0,0.0,25.5,33.5
2021-10-06,55,27.4,21.9,27.9,20.7,2.2,0.0,2.2,0.0,29.2,33.1
2021-10-07,51,24.4,20.5,20.2,16.6,0.5,0.0,0.5,0.0,41.7,57.2
2021-10-08,53,23.6,19.7,21.0,16.4,3.2,0.0,3.2,0.0,32.6,41.4
2021-10-09,53,23.9,20.3,22.7,18.5,1.5,0.0,1.5,0.0,21.8,30.2
2021-10-10,53,23.8,19.4,21.5,15.5,1.7,0.0,1.7,0.0,32.1,39.6
2021-10-11,51,22.7,18.5,19.6,14.4,0.1,0.0,0.1,0.0,29.6,41.0
2021-10-12,51,22.4,18.8,20.5,16.1,0.1,0.0,0.1,0.0,27.6,39.6
2021-10-13,55,22.5,18.5,21.3,17.3,7.1,0.0,7.1,0.0,25.7,29.9
2021-10-14,81,20.3,14.7,18.1,10.8,12.2,1.5,10.7,0.0,38.9,46.1
2021-10-15,3,19.0,15.9,14.0,9.8,0.0,0.0,0.0,0.0,38.6,56.5
2021-10-16,51,21.9,18.1,19.0,12.6,0.3,0.0,0.3,0.0,37.5,54.4
2021-10-17,51,23.2,18.1,23.5,16.7,0.4,0.0,0.4,0.0,13.3,19.1
2021-10-18,51,22.6,17.5,23.0,17.4,0.1,0.0,0.1,0.0,11.6,15.1
2021-10-19,51,22.4,17.4,21.2,16.7,0.2,0.1,0.1,0.0,21.6,22.7
2021-10-20,0,22.3,17.2,22.1,16.4,0.0,0.0,0.0,0.0,12.7,18.4
2021-10-21,55,23.0,16.7,22.2,16.7,1.1,0.0,1.1,0.0,18.4,23.4
2021-10-22,80,25.2,20.2,24.3,20.8,3.0,0.0,3.0,0.0,24.6,35.3
2021-10-23,3,26.1,20.7,26.2,21.9,0.0,0.0,0.0,0.0,27.0,40.3
2021-10-24,55,26.0,20.5,26.9,18.3,1.8,0.0,1.8,0.0,29.7,43.2
2021-10-25,81,21.3,18.0,20.4,15.9,20.4,9.8,10.6,0.0,30.4,36.4
2021-10-26,80,21.5,19.2,20.1,16.2,10.0,0.0,10.0,0.0,40.9,52.2
2021-10-27,81,21.3,18.2,17.8,15.1,19.0,10.0,9.0,0.0,39.0,50.4
2021-10-28,81,18.9,15.8,16.6,11.2,47.2,31.8,15.4,0.0,45.9,58.3
2021-10-29,80,18.7,15.5,15.0,11.2,11.4,11.1,0.3,0.0,42.8,60.1
2021-10-30,53,20.7,17.5,19.7,15.0,1.6,0.8,0.8,0.0,32.6,39.2
2021-10-31,80,20.6,16.6,20.7,16.9,8.4,6.4,2.0,0.0,14.0,19.1
2021-11-01,51,22.9,17.1,23.0,17.2,0.7,0.1,0.6,0.0,22.7,37.1
2021-11-02,51,22.3,18.4,22.0,18.2,0.2,0.0,0.2,0.0,27.0,41.8
2021-11-03,1,23.5,18.4,22.8,18.4,0.0,0.0,0.0,0.0,32.1,59.0
2021-11-04,3,25.2,18.6,23.8,19.8,0.0,0.0,0.0,0.0,29.3,61.9
2021-11-05,3,24.4,18.1,24.9,19.0,0.0,0.0,0.0,0.0,18.2,35.6
2021-11-06,3,25.3,21.5,23.7,19.6,0.0,0.0,0.0,0.0,35.5,69.8
2021-11-07,3,24.2,20.2,24.4,19.5,0.0,0.0,0.0,0.0,32.8,68.4
2021-11-08,53,24.4,19.1,24.4,19.9,0.6,0.0,0.6,0.0,34.5,56.2
2021-11-09,55,22.7,18.5,23.2,18.2,5.7,0.0,5.7,0.0,33.8,50.0
2021-11-10,80,22.4,19.1,20.8,17.5,8.9,0.0,8.9,0.0,34.3,49.0
2021-11-11,80,19.4,15.9,20.0,14.3,19.4,0.1,19.3,0.0,29.6,44.3
