date,weather_code,temperature_2m_max,temperature_2m_min,apparent_temperature_max,apparent_temperature_min,precipitation_sum,rain_sum,showers_sum,snowfall_sum,wind_speed_10m_max,wind_gusts_10m_max
2021-10-01,61,14.7,11.2,11.2,6.1,4.4,4.1,0.3,0.0,29.3,56.5
2021-10-02,61,16.1,9.8,12.9,7.8,6.9,6.8,0.1,0.0,41.9,83.9
2021-10-03,81,16.3,10.7,14.1,7.0,24.2,23.8,0.4,0.0,39.7,71.6
2021-10-04,51,16.7,10.0,12.6,7.0,0.2,0.0,0.2,0.0,30.0,52.2
2021-10-05,81,17.6,10.0,13.5,6.4,5.8,5.1,0.7,0.0,30.6,51.1
2021-10-06,80,14.9,9.5,12.2,5.8,9.2,3.7,5.5,0.0,29.0,47.2
2021-10-07,2,16.2,9.0,15.5,7.9,0.0,0.0,0.0,0.0,8.4,9.7
2021-10-08,0,16.7,8.0,14.8,6.3,0.0,0.0,0.0,0.0,12.8,36.0
2021-10-09,3,16.1,7.8,13.9,5.3,0.0,0.0,0.0,0.0,13.8,31.3
2021-10-10,51,16.0,7.3,14.0,5.4,0.1,0.0,0.1,0.0,14.0,30.2
2021-10-11,51,15.3,8.5,11.9,6.2,1.1,0.0,1.1,0.0,19.9,33.8
2021-10-12,55,13.0,8.3,10.3,5.7,5.3,1.8,3.5,0.0,20.6,34.9
2021-10-13,51,14.2,9.6,11.1,7.4,0.8,0.0,0.8,0.0,17.7,38.2
2021-10-14,51,15.9,11.7,13.5,9.5,1.0,0.0,1.0,0.0,22.7,44.6
2021-10-15,81,13.4,8.1,9.8,5.2,4.6,3.9,0.7,0.0,25.9,45.7
2021-10-16,3,11.7,7.4,8.5,4.2,0.0,0.0,0.0,0.0,13.2,31.0
2021-10-17,3,13.0,8.0,9.7,4.8,0.0,0.0,0.0,0.0,17.4,32.0
2021-10-18,53,13.9,7.5,10.9,4.5,0.7,0.7,0.0,0.0,20.1,44.6
2021-10-19,55,18.5,12.2,16.6,9.8,1.9,1.5,0.4,0.0,26.6,59.4
2021-10-20,53,17.2,12.2,13.1,10.1,5.2,1.0,4.2,0.0,37.1,82.1
2021-10-21,81,14.2,6.3,10.9,2.7,9.0,5.2,3.8,0.0,49.2,70.6
2021-10-22,53,10.8,5.6,6.3,1.8,1.5,0.2,1.3,0.0,30.6,56.5
2021-10-23,51,11.1,5.1,8.6,2.0,0.3,0.0,0.3,0.0,14.2,29.2
2021-10-24,3,12.1,5.1,8.4,1.7,0.0,0.0,0.0,0.0,16.9,42.1
2021-10-25,51,13.0,5.1,10.7,1.5,0.8,0.7,0.1,0.0,19.1,46.4
2021-10-26,3,14.0,8.0,10.6,5.5,0.0,0.0,0.0,0.0,27.0,47.5
2021-10-27,3,15.6,9.5,12.7,6.8,0.0,0.0,0.0,0.0,25.4,47.9
2021-10-28,3,15.5,8.4,11.8,5.5,0.0,0.0,0.0,0.0,22.0,55.8
2021-10-29,51,16.7,9.9,12.1,5.6,0.2,0.2,0.0,0.0,30.9,57.6
2021-10-30,61,12.5,10.2,10.1,7.1,4.1,3.7,0.4,0.0,31.3,56.2
2021-10-31,81,14.9,8.5,11.1,5.7,12.2,11.5,0.7,0.0,33.2,61.2
2021-11-01,51,11.3,6.4,7.0,3.3,1.0,0.0,1.0,0.0,31.8,54.0
2021-11-02,61,10.0,5.1,6.3,2.2,3.8,2.7,1.1,0.0,19.4,33.1
2021-11-03,3,9.5,4.2,8.0,1.5,0.0,0.0,0.0,0.0,9.3,16.6
2021-11-04,51,9.8,4.7,8.3,1.9,0.3,0.0,0.3,0.0,10.8,24.8
2021-11-05,51,12.0,5.5,8.8,2.5,0.6,0.0,0.6,0.0,17.6,32.0
2021-11-06,61,11.2,5.4,6.4,1.8,2.0,2.0,0.0,0.0,32.1,59.0
2021-11-07,53,11.5,6.7,7.4,3.7,2.5,0.3,2.2,0.0,28.9,50.4
2021-11-08,51,11.3,6.0,8.8,3.3,0.3,0.0,0.3,0.0,13.0,33.8
2021-11-09,3,10.7,4.6,7.4,1.2,0.0,0.0,0.0,0.0,19.5,37.4
2021-11-10,3,10.8,4.8,8.3,1.7,0.0,0.0,0.0,0.0,12.6,29.2
2021-11-11,3,9.7,8.5,7.2,5.9,0.0,0.0,0.0,0.0,12.4,22.3
2021-11-12,51,9.3,3.8,5.9,-0.8,0.1,0.1,0.0,0.0,23.7,50.8
2021-11-13,53,13.1,8.9,11.9,4.9,3.3,1.6,1.7,0.0,24.0,49.0
2021-11-14,3,10.1,5.8,8.2,3.3,0.0,0.0,0.0,0.0,16.5,26.6
2021-11-15,3,7.6,4.3,4.5,1.5,0.0,0.0,0.0,0.0,13.4,23.4
2021-11-16,3,6.0,4.9,3.8,1.8,0.0,0.0,0.0,0.0,12.7,22.3
2021-11-17,51,11.2,5.5,7.5,1.7,0.3,0.0,0.3,0.0,18.7,41.0
2021-11-18,3,11.5,6.1,7.4,2.9,0.0,0.0,0.0,0.0,24.3,44.6
2021-11-19,45,13.6,8.3,10.6,6.1,0.0,0.0,0.0,0.0,21.7,42.5
2021-11-20,51,10.6,7.3,7.8,4.8,0.5,0.4,0.1,0.0,16.8,34.2
2021-11-21,80,10.1,5.8,6.8,1.7,3.1,2.0,1.1,0.0,23.0,42.1
2021-11-22,51,8.0,2.9,5.1,-0.4,0.1,0.0,0.1,0.0,19.8,39.2
2021-11-23,51,10.0,5.5,7.7,3.5,0.5,0.1,0.4,0.0,9.2,27.0
2021-11-24,3,7.8,4.7,5.0,2.2,0.0,0.0,0.0,0.0,11.1,18.7
2021-11-25,51,8.9,4.0,5.2,0.6,0.7,0.4,0.3,0.0,16.6,32.8
2021-11-26,73,5.3,2.4,1.8,-3.7,17.9,17.2,0.1,0.42,36.3,58.0
2021-11-27,85,2.9,0.4,0.8,-2.8,18.4,14.5,0.2,2.59,14.1,28.4
2021-11-28,61,4.3,1.1,1.8,-2.4,3.0,2.8,0.2,0.0,14.0,41.8
2021-11-29,51,5.8,0.9,3.2,-3.4,0.8,0.0,0.8,0.0,24.0,42.5
2021-11-30,63,9.4,3.6,6.5,-2.7,12.0,12.0,0.0,0.0,31.6,60.8
2021-12-01,55,10.3,5.1,5.3,0.5,5.9,4.6,1.3,0.0,44.1,77.8
2021-12-02,53,5.6,0.4,1.9,-3.4,3.5,0.6,2.9,0.0,22.2,37.8
2021-12-03,3,3.6,0.4,-0.5,-3.8,0.0,0.0,0.0,0.0,34.1,58.3
2021-12-04,55,6.0,3.7,1.7,0.1,3.8,3.1,0.7,0.0,21.6,39.6
2021-12-05,51,4.4,3.0,1.5,-1.0,0.5,0.3,0.2,0.0,20.6,40.7
2021-12-06,73,4.7,1.2,0.5,-3.4,5.3,4.3,0.0,0.7,25.7,46.1
2021-12-07,73,4.5,0.7,0.4,-3.5,6.0,4.8,0.6,0.42,36.1,69.8
2021-12-08,55,6.1,2.9,1.7,-2.9,2.7,2.7,0.0,0.0,34.6,63.0
2021-12-09,51,4.7,1.6,0.6,-2.8,0.1,0.0,0.1,0.0,20.6,41.4
2021-12-10,3,3.7,1.8,0.7,-2.6,0.0,0.0,0.0,0.0,21.7,45.4
2021-12-11,3,6.3,1.7,3.8,-1.4,0.0,0.0,0.0,0.0,18.4,42.1
2021-12-12,55,9.6,4.0,7.4,-0.3,4.4,4.4,0.0,0.0,28.2,56.2
2021-12-13,3,10.1,7.5,6.7,4.1,0.0,0.0,0.0,0.0,17.8,42.5
2021-12-14,3,9.1,5.7,6.5,2.7,0.0,0.0,0.0,0.0,16.5,40.0
2021-12-15,3,10.8,7.7,7.7,5.7,0.0,0.0,0.0,0.0,19.6,37.8
2021-12-16,2,10.1,6.3,8.6,4.3,0.0,0.0,0.0,0.0,9.4,24.5
2021-12-17,3,8.6,5.4,6.9,3.5,0.0,0.0,0.0,0.0,6.9,14.8
2021-12-18,3,9.3,6.0,7.4,4.0,0.0,0.0,0.0,0.0,9.1,22.0
