date,weather_code,temperature_2m_max,temperature_2m_min,apparent_temperature_max,apparent_temperature_min,precipitation_sum,rain_sum,showers_sum,snowfall_sum,wind_speed_10m_max,wind_gusts_10m_max
2021-10-01,63,9.6,5.1,7.9,3.3,17.0,16.7,0.3,0.0,10.0,43.6
2021-10-02,53,10.4,3.9,7.4,1.5,1.9,0.2,1.7,0.0,11.7,31.3
2021-10-03,80,10.7,5.5,9.2,3.4,19.2,18.4,0.8,0.0,20.3,58.0
2021-10-04,51,9.6,4.7,6.1,2.3,1.0,0.0,1.0,0.0,20.6,46.4
2021-10-05,81,10.7,6.2,7.8,4.1,5.4,4.9,0.5,0.0,11.4,30.6
2021-10-06,45,11.5,5.3,9.9,3.5,0.0,0.0,0.0,0.0,8.9,12.6
2021-10-07,3,11.2,4.8,8.5,2.3,0.0,0.0,0.0,0.0,8.1,10.1
2021-10-08,53,13.0,7.0,12.5,5.6,1.4,1.4,0.0,0.0,4.2,7.2
2021-10-09,51,14.9,9.2,14.9,8.1,0.4,0.4,0.0,0.0,6.5,14.4
2021-10-10,53,9.7,4.8,8.2,2.1,1.8,1.6,0.2,0.0,7.6,12.2
2021-10-11,3,6.9,-0.0,3.2,-3.7,0.0,0.0,0.0,0.0,18.9,27.0
2021-10-12,3,6.9,-0.1,2.5,-3.9,0.0,0.0,0.0,0.0,15.1,19.4
2021-10-13,71,4.0,0.3,0.7,-3.3,0.5,0.1,0.0,0.28,7.6,9.7
2021-10-14,51,6.2,1.8,3.7,-1.7,0.7,0.7,0.0,0.0,9.8,16.9
2021-10-15,3,4.9,-1.6,1.0,-5.2,0.0,0.0,0.0,0.0,12.9,40.3
2021-10-16,3,4.9,-1.9,0.6,-5.4,0.0,0.0,0.0,0.0,13.5,51.8
2021-10-17,3,2.5,-4.8,-1.7,-8.9,0.0,0.0,0.0,0.0,11.5,14.4
2021-10-18,51,1.6,-5.3,-1.9,-9.6,0.1,0.1,0.0,0.0,7.1,10.1
2021-10-19,73,1.2,-1.5,-1.0,-4.3,8.9,4.2,0.0,3.29,5.5,15.8
2021-10-20,53,7.9,0.9,6.1,-1.8,1.0,1.0,0.0,0.0,23.2,50.8
2021-10-21,51,3.8,-1.3,-0.4,-5.2,0.3,0.3,0.0,0.0,20.1,45.4
2021-10-22,3,3.3,-1.6,-1.1,-5.6,0.0,0.0,0.0,0.0,12.6,47.5
2021-10-23,3,2.4,-2.0,-0.9,-5.6,0.0,0.0,0.0,0.0,8.5,13.3
2021-10-24,3,4.3,0.0,1.8,-3.3,0.0,0.0,0.0,0.0,5.5,10.8
2021-10-25,51,4.5,2.7,2.6,0.8,0.3,0.3,0.0,0.0,5.5,17.6
2021-10-26,3,5.5,0.2,2.8,-2.8,0.0,0.0,0.0,0.0,7.1,9.0
2021-10-27,73,7.3,-0.2,5.1,-3.0,2.4,1.1,0.0,0.91,6.5,19.8
2021-10-28,51,7.5,2.8,6.3,0.7,1.9,1.9,0.0,0.0,7.0,38.9
2021-10-29,3,8.4,4.9,6.4,2.6,0.0,0.0,0.0,0.0,9.8,37.8
2021-10-30,61,8.3,4.2,6.7,2.3,8.4,8.4,0.0,0.0,16.5,47.5
2021-10-31,61,8.1,1.8,5.6,-0.8,5.5,5.2,0.3,0.0,20.0,50.4
2021-11-01,73,5.3,2.4,1.9,-0.3,9.0,5.8,0.4,1.96,23.1,54.0
2021-11-02,53,6.4,4.0,3.2,0.7,2.5,2.0,0.5,0.0,20.6,54.7
2021-11-03,3,4.4,0.6,2.3,-3.0,0.0,0.0,0.0,0.0,7.7,5.8
2021-11-04,3,3.2,-1.7,-0.1,-5.3,0.0,0.0,0.0,0.0,8.1,8.6
2021-11-05,73,3.5,-1.3,0.2,-5.0,1.2,0.5,0.0,0.49,9.4,12.6
