date,weather_code,temperature_2m_max,temperature_2m_min,apparent_temperature_max,apparent_temperature_min,precipitation_sum,rain_sum,showers_sum,snowfall_sum,wind_speed_10m_max,wind_gusts_10m_max
2021-10-01,3,25.3,15.6,23.4,14.0,0.0,0.0,0.0,0.0,15.5,15.8
2021-10-02,51,23.2,14.6,23.3,14.3,0.3,0.0,0.3,0.0,18.8,36.4
2021-10-03,81,18.6,11.2,16.0,9.4,8.9,7.8,1.2,0.0,25.0,48.6
2021-10-04,3,19.9,10.3,17.7,8.6,0.0,0.0,0.0,0.0,17.5,27.7
2021-10-05,3,20.6,12.1,20.6,11.3,0.0,0.0,0.0,0.0,10.7,18.7
2021-10-06,1,26.1,14.2,25.3,13.8,0.0,0.0,0.0,0.0,10.2,11.5
2021-10-07,2,28.2,15.8,27.7,14.1,0.0,0.0,0.0,0.0,9.6,11.9
2021-10-08,3,29.6,16.5,29.0,14.1,0.0,0.0,0.0,0.0,12.5,23.0
2021-10-09,3,26.7,16.5,24.9,15.3,0.0,0.0,0.0,0.0,7.0,8.6
2021-10-10,3,25.0,15.7,22.0,12.4,0.0,0.0,0.0,0.0,19.0,39.2
2021-10-11,3,24.5,16.5,20.8,13.6,0.0,0.0,0.0,0.0,21.7,47.2
2021-10-12,3,25.4,15.8,23.7,13.4,0.0,0.0,0.0,0.0,16.8,40.0
2021-10-13,0,26.4,14.6,24.3,11.0,0.0,0.0,0.0,0.0,9.5,11.5
2021-10-14,3,25.8,14.5,24.0,11.3,0.0,0.0,0.0,0.0,8.7,11.5
2021-10-15,3,26.2,14.0,23.0,12.2,0.0,0.0,0.0,0.0,15.8,24.1
2021-10-16,53,21.5,14.9,20.2,12.9,0.9,0.0,0.9,0.0,8.9,14.4
2021-10-17,55,18.7,15.8,21.0,15.8,4.1,2.6,1.5,0.0,5.4,15.5
2021-10-18,3,25.3,15.9,25.7,17.0,0.0,0.0,0.0,0.0,9.0,9.4
2021-10-19,3,26.7,16.5,27.2,15.9,0.0,0.0,0.0,0.0,10.8,18.0
