date,weather_code,temperature_2m_max,temperature_2m_min,apparent_temperature_max,apparent_temperature_min,precipitation_sum,rain_sum,showers_sum,snowfall_sum,wind_speed_10m_max,wind_gusts_10m_max
2021-10-01,3,16.4,5.7,14.4,2.4,0.0,0.0,0.0,0.0,10.1,24.5
2021-10-02,0,16.8,3.7,13.9,0.3,0.0,0.0,0.0,0.0,11.8,15.5
2021-10-03,3,18.3,4.1,15.4,1.3,0.0,0.0,0.0,0.0,12.9,14.4
2021-10-04,3,19.1,4.8,17.1,2.0,0.0,0.0,0.0,0.0,10.4,10.1
2021-10-05,0,19.5,5.5,15.2,1.4,0.0,0.0,0.0,0.0,24.3,41.8
2021-10-06,3,17.6,4.3,13.8,-0.2,0.0,0.0,0.0,0.0,24.8,42.1
2021-10-07,3,14.3,6.1,8.0,0.0,0.0,0.0,0.0,0.0,37.8,59.0
2021-10-08,3,9.5,4.2,2.4,-1.5,0.0,0.0,0.0,0.0,35.5,50.0
2021-10-09,3,11.3,3.2,5.2,-1.9,0.0,0.0,0.0,0.0,26.3,50.8
2021-10-10,3,15.0,3.0,10.4,-2.7,0.0,0.0,0.0,0.0,27.0,49.3
2021-10-11,53,14.6,3.2,11.7,-1.0,2.6,2.6,0.0,0.0,14.4,33.1
2021-10-12,51,8.1,3.6,6.7,1.3,0.6,0.6,0.0,0.0,13.5,23.0
2021-10-13,51,9.6,2.5,6.7,0.1,0.5,0.1,0.4,0.0,9.9,13.3
2021-10-14,3,9.3,3.1,6.0,0.5,0.0,0.0,0.0,0.0,15.1,24.1
2021-10-15,53,11.7,2.4,8.4,-0.3,1.3,1.3,0.0,0.0,12.6,13.7
2021-10-16,51,8.4,6.6,6.9,5.1,1.8,1.8,0.0,0.0,5.6,7.2
2021-10-17,51,10.3,7.1,8.7,5.9,0.8,0.8,0.0,0.0,5.2,6.1
2021-10-18,3,12.7,5.7,9.4,3.9,0.0,0.0,0.0,0.0,10.6,11.2
2021-10-19,3,12.7,5.3,9.7,3.2,0.0,0.0,0.0,0.0,9.4,9.4
2021-10-20,3,15.2,4.0,13.3,1.8,0.0,0.0,0.0,0.0,4.8,5.0
2021-10-21,3,18.5,5.7,15.1,3.0,0.0,0.0,0.0,0.0,10.2,35.3
2021-10-22,51,16.5,10.2,12.9,8.2,0.1,0.0,0.1,0.0,21.7,48.2
2021-10-23,55,14.3,4.8,9.7,0.5,2.5,2.1,0.4,0.0,22.1,38.2
