date,weather_code,temperature_2m_max,temperature_2m_min,apparent_temperature_max,apparent_temperature_min,precipitation_sum,rain_sum,showers_sum,snowfall_sum,wind_speed_10m_max,wind_gusts_10m_max
2021-10-01,51,10.4,3.3,7.8,0.8,0.1,0.0,0.1,0.0,8.0,9.0
2021-10-02,51,10.7,3.7,7.9,1.0,0.1,0.0,0.1,0.0,10.3,14.0
2021-10-03,3,12.5,3.1,9.4,-0.0,0.0,0.0,0.0,0.0,12.5,20.5
2021-10-04,3,14.4,5.5,12.2,2.6,0.0,0.0,0.0,0.0,11.6,26.6
2021-10-05,3,15.2,7.1,12.0,4.1,0.0,0.0,0.0,0.0,14.5,31.0
2021-10-06,61,7.3,4.9,4.3,2.4,12.8,12.8,0.0,0.0,9.5,14.8
2021-10-07,3,12.0,3.7,9.8,1.6,0.0,0.0,0.0,0.0,7.1,9.7
2021-10-08,3,12.0,-0.8,8.9,-4.9,0.0,0.0,0.0,0.0,9.7,14.0
2021-10-09,0,9.0,-2.0,5.0,-6.2,0.0,0.0,0.0,0.0,9.7,23.0
2021-10-10,3,9.4,-1.6,6.5,-5.6,0.0,0.0,0.0,0.0,7.8,7.2
2021-10-11,3,10.7,1.6,8.1,-1.6,0.0,0.0,0.0,0.0,7.9,6.8
2021-10-12,51,5.9,-0.9,2.5,-4.8,0.1,0.0,0.1,0.0,10.1,10.8
2021-10-13,85,1.8,-1.9,-1.3,-5.7,4.0,1.8,0.4,1.4,10.5,13.7
2021-10-14,45,5.7,-2.1,2.3,-5.6,0.0,0.0,0.0,0.0,9.5,11.5
2021-10-15,3,6.3,-1.4,3.3,-4.3,0.0,0.0,0.0,0.0,8.9,8.6
2021-10-16,51,8.4,-0.3,5.6,-3.4,0.1,0.1,0.0,0.0,9.0,9.0
2021-10-17,3,7.8,-1.1,4.7,-4.1,0.0,0.0,0.0,0.0,7.7,6.5
2021-10-18,3,3.7,-1.1,0.9,-4.5,0.0,0.0,0.0,0.0,8.0,8.6
2021-10-19,3,8.4,0.8,5.4,-1.8,0.0,0.0,0.0,0.0,9.8,10.8
2021-10-20,3,10.2,2.2,6.6,-0.7,0.0,0.0,0.0,0.0,13.0,20.9
2021-10-21,51,8.2,2.1,4.8,-1.2,0.8,0.5,0.3,0.0,16.6,60.5
2021-10-22,51,5.3,-0.5,1.6,-3.9,0.4,0.2,0.2,0.0,15.3,66.6
2021-10-23,85,3.7,-0.8,-0.6,-4.3,0.6,0.0,0.5,0.21,12.3,27.0
2021-10-24,3,5.3,-2.8,1.9,-6.6,0.0,0.0,0.0,0.0,9.4,7.6
2021-10-25,2,7.0,-1.7,2.5,-5.5,0.0,0.0,0.0,0.0,11.6,13.7
2021-10-26,3,5.5,-1.1,2.0,-4.9,0.0,0.0,0.0,0.0,9.7,10.4
2021-10-27,3,8.4,0.0,5.4,-3.5,0.0,0.0,0.0,0.0,8.3,7.2
2021-10-28,3,9.8,1.6,6.5,-1.2,0.0,0.0,0.0,0.0,8.3,10.1
2021-10-29,3,10.6,2.1,6.4,-1.9,0.0,0.0,0.0,0.0,10.5,14.0
2021-10-30,2,9.4,1.9,5.2,-1.7,0.0,0.0,0.0,0.0,15.6,25.6
2021-10-31,0,9.8,1.0,6.4,-2.6,0.0,0.0,0.0,0.0,10.4,13.7
2021-11-01,53,7.5,-0.4,3.7,-4.0,1.1,1.1,0.0,0.0,11.3,15.8
