date,weather_code,temperature_2m_max,temperature_2m_min,apparent_temperature_max,apparent_temperature_min,precipitation_sum,rain_sum,showers_sum,snowfall_sum,wind_speed_10m_max,wind_gusts_10m_max
2021-10-01,3,16.0,5.3,14.0,2.9,0.0,0.0,0.0,0.0,6.4,9.0
2021-10-02,3,15.9,5.8,14.7,4.0,0.0,0.0,0.0,0.0,7.0,5.8
2021-10-03,51,17.8,7.7,15.1,5.9,1.1,0.0,1.1,0.0,21.9,32.0
2021-10-04,51,19.3,10.8,17.1,9.8,0.2,0.0,0.2,0.0,20.9,23.0
2021-10-05,80,16.8,11.0,16.3,10.2,3.4,0.0,3.4,0.0,16.4,36.0
2021-10-06,81,15.1,6.7,15.2,4.1,12.3,8.9,3.4,0.0,11.1,27.7
2021-10-07,63,8.2,6.3,5.6,3.3,20.0,20.0,0.0,0.0,18.8,31.3
2021-10-08,51,10.0,6.6,6.8,4.2,1.3,1.1,0.2,0.0,15.4,21.6
2021-10-09,0,11.4,2.4,7.3,-1.6,0.0,0.0,0.0,0.0,17.4,22.0
2021-10-10,53,7.7,2.2,3.4,-1.6,3.1,3.1,0.0,0.0,15.7,19.4
2021-10-11,51,9.6,4.1,7.6,1.9,0.5,0.5,0.0,0.0,9.7,22.3
2021-10-12,3,9.4,2.9,7.2,0.5,0.0,0.0,0.0,0.0,4.9,5.0
2021-10-13,51,9.7,0.5,6.3,-2.6,1.5,0.0,1.6,0.0,10.4,17.3
2021-10-14,3,11.1,-0.4,8.1,-3.5,0.0,0.0,0.0,0.0,6.1,10.1
2021-10-15,3,11.7,1.2,8.6,-1.5,0.0,0.0,0.0,0.0,11.2,13.3
2021-10-16,3,12.0,2.7,9.5,0.1,0.0,0.0,0.0,0.0,9.0,11.2
2021-10-17,1,13.0,2.7,10.6,0.1,0.0,0.0,0.0,0.0,5.0,5.8
2021-10-18,3,13.0,3.4,10.6,1.1,0.0,0.0,0.0,0.0,7.2,8.6
2021-10-19,3,13.5,4.2,11.5,2.1,0.0,0.0,0.0,0.0,6.1,4.3
2021-10-20,3,15.4,5.9,11.7,3.5,0.0,0.0,0.0,0.0,23.4,22.3
2021-10-21,81,10.8,10.1,9.9,5.8,18.4,16.7,1.7,0.0,28.5,49.7
2021-10-22,53,12.5,9.3,12.2,8.4,6.0,0.9,5.1,0.0,4.3,10.8
2021-10-23,53,9.4,2.9,8.5,0.2,3.5,2.7,0.8,0.0,10.4,16.6
2021-10-24,3,9.5,1.2,6.2,-2.0,0.0,0.0,0.0,0.0,9.0,11.5
2021-10-25,3,9.8,0.3,6.3,-3.1,0.0,0.0,0.0,0.0,7.0,7.6
2021-10-26,3,7.2,1.9,4.6,-1.2,0.0,0.0,0.0,0.0,5.0,4.7
2021-10-27,3,12.0,2.5,9.5,-0.1,0.0,0.0,0.0,0.0,8.6,8.3
2021-10-28,2,11.5,1.9,8.8,-0.9,0.0,0.0,0.0,0.0,6.5,7.6
2021-10-29,2,11.2,0.8,8.7,-2.2,0.0,0.0,0.0,0.0,5.2,6.1
2021-10-30,3,12.0,1.3,9.1,-1.8,0.0,0.0,0.0,0.0,8.7,12.2
2021-10-31,3,13.1,4.6,10.7,2.4,0.0,0.0,0.0,0.0,11.0,14.0
2021-11-01,63,9.2,4.5,8.2,2.1,16.0,16.0,0.0,0.0,8.8,10.8
2021-11-02,81,8.4,6.0,7.5,4.6,12.5,10.8,1.7,0.0,9.6,12.2
2021-11-03,81,10.8,5.2,9.7,3.6,16.5,13.8,2.7,0.0,7.6,20.2
2021-11-04,81,10.5,4.4,9.0,2.0,11.1,7.5,3.6,0.0,24.5,52.2
2021-11-05,51,6.0,3.7,3.3,1.1,0.1,0.1,0.0,0.0,8.9,7.9
2021-11-06,3,7.5,3.5,4.1,0.7,0.0,0.0,0.0,0.0,12.8,10.8
2021-11-07,51,9.6,4.3,7.6,2.2,0.5,0.5,0.0,0.0,6.2,4.7
2021-11-08,61,6.0,3.0,3.9,0.2,8.0,8.0,0.0,0.0,9.6,9.7
2021-11-09,3,7.3,1.1,4.0,-2.0,0.0,0.0,0.0,0.0,11.1,12.2
2021-11-10,3,8.2,1.2,5.4,-1.5,0.0,0.0,0.0,0.0,5.7,5.4
2021-11-11,3,12.0,2.4,10.2,-0.4,0.0,0.0,0.0,0.0,6.7,4.0
2021-11-12,3,9.4,2.2,7.4,-0.5,0.0,0.0,0.0,0.0,5.1,4.7
2021-11-13,51,8.6,2.2,6.7,-0.4,0.1,0.0,0.1,0.0,7.8,5.8
2021-11-14,51,7.0,4.4,5.4,2.0,0.8,0.8,0.0,0.0,7.4,6.8
2021-11-15,3,8.7,2.5,5.6,-0.5,0.0,0.0,0.0,0.0,10.3,10.8
2021-11-16,3,6.0,1.3,2.7,-1.3,0.0,0.0,0.0,0.0,10.9,11.9
2021-11-17,3,8.3,0.7,6.0,-2.0,0.0,0.0,0.0,0.0,6.4,5.4
2021-11-18,3,4.3,0.9,2.5,-1.7,0.0,0.0,0.0,0.0,6.7,6.1
2021-11-19,3,9.0,0.6,6.6,-2.1,0.0,0.0,0.0,0.0,4.8,4.7
2021-11-20,2,10.6,2.9,8.2,0.5,0.0,0.0,0.0,0.0,5.8,5.0
2021-11-21,3,9.7,1.9,6.4,-1.0,0.0,0.0,0.0,0.0,10.9,11.9
2021-11-22,51,5.1,2.2,2.0,-0.4,0.5,0.5,0.0,0.0,8.8,10.1
2021-11-23,3,4.6,-1.3,1.0,-4.7,0.0,0.0,0.0,0.0,10.3,10.1
