date,weather_code,temperature_2m_max,temperature_2m_min,apparent_temperature_max,apparent_temperature_min,precipitation_sum,rain_sum,showers_sum,snowfall_sum,wind_speed_10m_max,wind_gusts_10m_max
2021-10-01,3,27.1,15.6,25.2,15.2,0.0,0.0,0.0,0.0,11.5,17.6
2021-10-02,3,27.2,15.2,25.0,13.8,0.0,0.0,0.0,0.0,15.6,32.0
2021-10-03,81,20.3,11.7,17.2,9.5,12.8,11.3,1.5,0.0,19.7,37.4
2021-10-04,3,20.0,10.2,17.7,8.4,0.0,0.0,0.0,0.0,11.2,21.6
2021-10-05,3,23.3,10.5,22.4,9.2,0.0,0.0,0.0,0.0,12.1,18.7
2021-10-06,3,28.4,13.3,28.4,13.0,0.0,0.0,0.0,0.0,7.7,10.1
2021-10-07,0,28.3,14.3,27.9,13.1,0.0,0.0,0.0,0.0,5.1,6.1
2021-10-08,0,29.0,14.5,28.2,12.0,0.0,0.0,0.0,0.0,7.3,14.0
2021-10-09,3,28.4,14.6,27.1,12.4,0.0,0.0,0.0,0.0,6.7,7.9
2021-10-10,3,26.6,14.4,25.0,13.1,0.0,0.0,0.0,0.0,10.4,13.3
2021-10-11,3,25.1,14.3,23.1,13.2,0.0,0.0,0.0,0.0,14.5,20.5
2021-10-12,3,26.7,13.4,27.2,12.4,0.0,0.0,0.0,0.0,6.1,9.0
2021-10-13,0,27.6,13.2,26.4,11.3,0.0,0.0,0.0,0.0,9.3,6.5
2021-10-14,3,27.7,12.5,26.2,9.5,0.0,0.0,0.0,0.0,8.8,16.2
2021-10-15,3,25.2,13.6,22.8,11.5,0.0,0.0,0.0,0.0,13.7,17.6
2021-10-16,51,24.5,12.6,21.6,11.0,0.1,0.1,0.0,0.0,10.8,20.2
2021-10-17,53,23.4,13.6,21.9,12.9,0.5,0.5,0.0,0.0,13.8,14.8
2021-10-18,3,27.2,14.2,27.2,14.7,0.0,0.0,0.0,0.0,6.5,6.1
2021-10-19,3,27.7,16.7,26.2,15.6,0.0,0.0,0.0,0.0,8.1,10.4
2021-10-20,3,25.5,15.4,23.8,14.9,0.0,0.0,0.0,0.0,15.1,18.0
2021-10-21,3,22.1,12.0,19.9,10.3,0.0,0.0,0.0,0.0,11.1,24.1
2021-10-22,0,21.2,9.8,17.3,8.1,0.0,0.0,0.0,0.0,20.6,29.5
2021-10-23,3,22.5,9.0,20.8,7.1,0.0,0.0,0.0,0.0,8.3,13.7
2021-10-24,0,22.5,9.1,20.3,6.6,0.0,0.0,0.0,0.0,9.2,11.5
2021-10-25,3,22.4,8.6,19.9,5.9,0.0,0.0,0.0,0.0,4.8,5.8
2021-10-26,3,22.6,9.0,19.1,6.1,0.0,0.0,0.0,0.0,16.3,17.3
2021-10-27,3,22.9,9.2,20.5,7.4,0.0,0.0,0.0,0.0,10.3,13.7
2021-10-28,3,21.9,9.6,19.0,7.7,0.0,0.0,0.0,0.0,13.8,16.9
