date,weather_code,temperature_2m_max,temperature_2m_min,apparent_temperature_max,apparent_temperature_min,precipitation_sum,rain_sum,showers_sum,snowfall_sum,wind_speed_10m_max,wind_gusts_10m_max
2021-10-01,61,9.6,8.4,7.0,4.7,11.6,10.6,1.0,0.0,22.2,51.1
2021-10-02,63,11.3,7.6,8.4,4.2,7.3,7.3,0.0,0.0,18.7,50.4
2021-10-03,61,12.8,9.4,9.6,6.3,26.8,26.8,0.0,0.0,29.0,68.4
2021-10-04,53,13.7,9.3,10.9,7.2,2.7,1.1,1.6,0.0,25.3,63.7
2021-10-05,63,13.3,8.9,11.4,6.7,11.3,11.3,0.0,0.0,17.3,36.7
2021-10-06,63,12.1,9.4,10.8,6.2,12.5,12.5,0.0,0.0,19.6,41.0
2021-10-07,51,12.9,9.7,10.7,7.4,0.3,0.0,0.3,0.0,17.9,40.7
2021-10-08,3,12.7,9.5,9.8,7.4,0.0,0.0,0.0,0.0,18.8,42.8
2021-10-09,3,13.2,9.3,10.8,6.6,0.0,0.0,0.0,0.0,17.5,43.6
2021-10-10,51,10.9,8.2,6.9,4.7,0.5,0.5,0.0,0.0,23.4,46.1
2021-10-11,51,9.6,3.6,6.9,-0.3,0.2,0.0,0.2,0.0,17.9,37.8
2021-10-12,3,9.2,1.5,5.3,-1.9,0.0,0.0,0.0,0.0,17.8,35.3
2021-10-13,3,7.4,0.1,3.6,-3.3,0.0,0.0,0.0,0.0,13.9,34.6
2021-10-14,3,10.7,4.6,7.3,0.4,0.0,0.0,0.0,0.0,27.8,54.0
2021-10-15,53,10.0,2.2,5.8,-1.6,1.2,0.9,0.3,0.0,26.6,56.5
2021-10-16,3,9.9,0.5,4.9,-3.4,0.0,0.0,0.0,0.0,20.8,50.4
2021-10-17,3,7.4,-0.2,2.7,-3.6,0.0,0.0,0.0,0.0,14.2,38.9
2021-10-18,3,6.9,-0.2,2.3,-4.1,0.0,0.0,0.0,0.0,13.0,35.3
2021-10-19,73,5.9,0.4,3.3,-3.7,7.0,5.5,0.0,1.05,14.9,41.8
2021-10-20,51,12.0,6.3,8.9,3.3,1.1,0.9,0.2,0.0,27.6,55.1
2021-10-21,51,9.1,3.0,6.4,-2.4,1.0,0.0,1.0,0.0,25.7,51.8
2021-10-22,3,5.7,0.8,0.9,-4.3,0.0,0.0,0.0,0.0,18.8,52.9
2021-10-23,3,5.5,-0.5,1.7,-4.9,0.0,0.0,0.0,0.0,16.5,43.2
2021-10-24,51,9.1,1.3,5.2,-2.5,0.5,0.2,0.3,0.0,26.5,53.6
